turn,province_index,province,converged,ceiling_hit,iterations,initial_statistic,final_statistic,final_to_initial_ratio,last20_final_to_initial_ratio,last20_decrease_fraction,last20_range,last20_coefficient_of_variation,last20_two_step_to_one_step_median,last20_policy_switch_median,last20_two_step_reversion_median,first_policy_switch_iteration,first_two_step_reversion_iteration,first_value_nondec_iteration,first_derivative_floor_hit_iteration,first_negative_offdiagonal_iteration,first_nonzero_row_sum_defect_iteration,derivative_floor_share_first,derivative_floor_share_final,minimum_offdiagonal_all_iterations,maximum_row_sum_defect_all_iterations,linear_solve_residual_first,linear_solve_residual_final,linear_solve_residual_max,raw_entering_r_a,consumed_r_a,return_guard_state,consumed_household_composite_wage,guarded_wjt,wage_guard_state,accepted_output_exact,final_operator_exact
1,10,浙江,True,False,15,0.43066137221682155,8.606957369039492e-10,1.9985440822647585e-09,1.9985440822647585e-09,0.8571428571428571,0.4306613713561258,1.707595012633314,4.281895433252992,35.0,2.0,2,3,3,,3,1,0.0,0.0,-5.4466964041470485,0.007437536168229564,7.089467901622015e-14,2.2176704916887502e-14,1.7708057242771247e-13,0.08335304818599189,0.08335304818599189,NOT_APPLIED_BOOTSTRAP,18.00489758044457,1.3,UPPER,True,True
1,11,安徽,False,True,100,0.4245142635260484,0.18862667495966345,0.4443353054686918,0.01146458267570936,0.7368421052631579,16.39054160213706,1.5713115353480738,1.9105957287878925,78.0,9.0,2,3,3,5,3,1,0.0,0.785,-5.473124619812027,0.008472844496627274,5.49074674616179e-14,5.855406931291537e-07,1.7117048669511217e-05,0.08895777765800762,0.08895777765800762,NOT_APPLIED_BOOTSTRAP,18.29792118969518,1.3,UPPER,True,True
1,12,福建,True,False,14,0.43938308808914783,8.923409566818918e-09,2.0308950910300896e-08,2.0308950910300896e-08,0.8461538461538461,0.43938307916573827,1.6241517085136987,4.034299584976639,40.0,3.0,2,3,3,,3,1,0.0,0.0,-5.456586792724818,0.007244269142177628,5.551115123125783e-14,4.0994985184283905e-14,8.748557434046234e-14,0.08227353131506258,0.08227353131506258,NOT_APPLIED_BOOTSTRAP,17.622512150269692,1.3,UPPER,True,True
1,13,江西,False,True,100,0.4296397907346705,0.05869183330034722,0.13660707077430148,2.498366167321971,0.5263157894736842,0.08045424250115962,0.6292587790970868,1.594519471741769,19.5,4.0,2,3,3,5,3,1,0.0,0.0225,-5.474501189828428,0.00850239663619562,7.17065296029773e-14,9.712794110661171e-11,4.442429880780613e-07,0.08911960456738838,0.08911960456738838,NOT_APPLIED_BOOTSTRAP,18.066338850784597,1.3,UPPER,True,True
1,14,山东,True,False,15,0.423616080194853,7.239737698228055e-10,1.70903278621953e-09,1.70903278621953e-09,0.8571428571428571,0.4236160794708792,1.7164099768596472,4.166224272053471,37.0,2.0,2,3,3,,3,1,0.0,0.0,-5.472275286760488,0.007313983625770459,6.369904603786836e-14,2.7283730830163222e-14,8.826273045769994e-14,0.08264908560515918,0.08264908560515918,NOT_APPLIED_BOOTSTRAP,18.321743106447045,1.3,UPPER,True,True
1,15,河南,False,True,100,0.4202709660891064,0.3587512505611632,0.8536189256649727,3.828881238896728,0.47368421052631576,112.17638770391886,2.451934613403883,1.27727847938842,178.0,34.0,2,3,3,5,3,1,0.0,0.1125,-187790.1750084296,0.4788246154785156,5.14518982974721e-14,4.1643399466620434e-08,15.420403170647878,0.08521809867670735,0.08521809867670735,NOT_APPLIED_BOOTSTRAP,18.484175006636022,1.3,UPPER,True,True
1,16,湖北,False,True,100,0.4195084789458976,0.007907594369422455,0.018849665182672667,0.2478399803629726,0.631578947368421,0.21681267397316173,1.2055943659451134,1.5303196068143041,42.5,5.5,2,3,3,5,3,1,0.0,0.265,-31512.31220767918,0.007759133731198797,7.596701045997634e-14,2.7605868285762725e-10,0.006243622646024716,0.0851220223749261,0.0851220223749261,NOT_APPLIED_BOOTSTRAP,18.519697907284154,1.3,UPPER,True,True
1,17,湖南,False,True,100,0.42756758313848975,0.2058091017317485,0.4813487033348986,0.08447617175726742,0.5789473684210527,2.251392875475848,0.9000613293587011,1.132704147456716,153.0,34.5,2,3,3,5,3,1,0.0,0.055,-56372.245436322155,0.6560943992638688,9.251627242079508e-14,9.955681287785595e-08,2.166786392187226,0.0872058027276669,0.0872058027276669,NOT_APPLIED_BOOTSTRAP,18.15409814981755,1.3,UPPER,True,True
1,18,广东,False,True,100,0.4476956053717478,0.04680647315474018,0.1045497713024769,4.204575263620226,0.47368421052631576,0.07029096327328044,0.5506676527538096,1.4103773059526787,70.0,9.5,2,3,3,5,3,1,0.0,0.02,-5.427891236620263,0.00796639526309001,5.4414805994440485e-14,4.831340257574132e-07,4.61041398174683e-06,0.086287673370157,0.086287673370157,NOT_APPLIED_BOOTSTRAP,17.286415001574493,1.3,UPPER,True,True
1,19,广西,False,True,100,0.45944925861762265,0.09121637957767925,0.19853417513857438,0.2060928819721861,0.5263157894736842,0.7159120444505007,1.4936804378398434,1.0008139229738804,58.5,5.0,2,3,3,5,3,1,0.0,0.535,-1249.897227118161,0.008201215438822185,6.405292962696763e-14,3.965523916182878e-11,2.1371030700483018e-05,0.08756544677060778,0.08756544677060778,NOT_APPLIED_BOOTSTRAP,16.822125649139746,1.3,UPPER,True,True
1,20,海南,True,False,14,0.47483542929589806,2.552571487512978e-10,5.375697199549782e-10,5.375697199549782e-10,0.8461538461538461,0.4748354290406409,1.5929048707663367,4.537549046358135,40.0,1.5,2,3,3,,3,1,0.0,0.0,-5.364468259207826,0.008028645928999656,6.360884041711756e-14,2.0788926136106056e-14,6.360884041711756e-14,0.08665876897535335,0.08665876897535335,NOT_APPLIED_BOOTSTRAP,16.244721014420247,1.3,UPPER,True,True
1,21,重庆,False,True,100,0.4293476630870625,0.003659066625460339,0.00852238626187272,0.0012292539649736078,0.7894736842105263,7.0368032839447965,1.3162002535286585,1.5412650111703432,68.0,3.0,2,3,3,5,3,1,0.0,0.2925,-19249.200847794218,0.007904587428387344,5.0286164121615684e-14,2.345772916190203e-10,0.012608062542409345,0.08592885327235546,0.08592885327235546,NOT_APPLIED_BOOTSTRAP,18.070548844406634,1.3,UPPER,True,True
1,22,四川,False,True,100,0.43760023829100403,0.048200291036978093,0.110146857381108,0.1660194985415012,0.47368421052631576,1.4510464108264483,1.284976244580512,1.1650704737451258,40.5,10.0,2,3,3,5,3,1,0.0,0.015,-4928.9230241713985,0.008489447897233882,6.651623696285469e-14,1.6287964900441043e-12,0.00298120282835296,0.08906225625677495,0.08906225625677495,NOT_APPLIED_BOOTSTRAP,17.717335154425694,1.3,UPPER,True,True
1,23,贵州,False,True,100,0.4434468761046175,0.3037203268799673,0.684908031257196,0.007703763128683899,0.5789473684210527,39.24166440711215,2.2142186642098056,1.3542924158106024,298.5,67.0,2,3,3,5,3,1,0.0,0.1675,-5006.211247880649,0.008627287650781412,4.851674617611934e-14,3.30530446142948e-06,0.007010700916127893,0.08979022758512188,0.08979022758512188,NOT_APPLIED_BOOTSTRAP,17.471672154406804,1.3,UPPER,True,True
1,24,云南,True,False,60,0.462832277473765,1.4832668426834061e-10,3.2047610222419784e-10,2.0112525128609524e-11,0.8947368421052632,7.374841464056977,3.4960067765465577,2.581289791326591,10.0,1.0,2,3,3,5,3,1,0.0,0.0,-5.392501971209853,0.008075963776108419,8.126138650865755e-14,2.2065682614424986e-14,0.00013133201138406346,0.08689848117056337,0.08689848117056337,NOT_APPLIED_BOOTSTRAP,16.690391966376946,1.3,UPPER,True,True
1,25,西藏,True,False,13,0.5162979652397781,7.219969511140789e-09,1.398411382037445e-08,1.398411382037445e-08,0.8333333333333334,0.5162979580198086,1.514377316590231,5.200090619028927,105.0,12.0,2,3,3,,3,1,0.0,0.0,-5.425960670238168,0.00765534525073136,5.748179709996748e-14,2.0816681711721685e-14,7.921441280700492e-14,0.08467093143392833,0.08467093143392833,NOT_APPLIED_BOOTSTRAP,14.871770683578495,1.3,UPPER,True,True
