turn,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,rah_min,rah_median,rah_max,ra_lower,ra_interior,ra_upper,max_KN_gap,max_Y_prev_gap,max_GDP_level_gap,govinv_decrease,govinv_increase,govinv_hold,HJB_converged_count,HJB_nonconverged_count,HJB_nonconverged_names,KFE_diagnostic_only_count,adaptation_gate_open,source_final_predicate
11,1.3265603816793803,1.4625319951120344,1.4636313683286162,1.3144349634860897,1.4594002521905773,1.4627096021087223,0.0009217662198939564,0.003122653975347739,0.03394271145618982,0.05664568308348435,0.08486724949294801,0.09,0,5,26,0.11944282259173278,0.06738179885096685,0.0728523401942669,0,0,31,31,0,,31,False,False
12,1.3265596554281598,1.4625318214131593,1.4636313779771697,1.3144349634860897,1.4594002521905773,1.4627096021087223,0.0009217758684475905,0.003122476406637574,0.033940863957673456,0.05667808154237033,0.08486730971369659,0.09,0,5,26,0.04467310020854631,0.00022790199067901362,0.07286495684924987,0,29,2,31,0,,31,True,False
13,1.3265302013528841,1.6084588857077833,1.6098986000721742,1.3144349634860897,1.6053248599188195,1.6089805623195945,0.0009180377525798566,0.0031182289839645706,0.033818652085800115,0.05150585863619619,0.08485260246766496,0.09,0,6,25,0.1198624260810921,0.06786828224621955,0.07277338730329364,0,0,31,30,1,山东,31,False,False
14,1.326830893130533,1.6085374187528079,1.609910909464665,1.3144349634860897,1.6053248599188195,1.6089805623195945,0.0009180428260123456,0.003197939573148257,0.03465425567062222,0.051506920222852776,0.08485260544658133,0.09,0,6,25,0.04458464052855682,0.0005688207385494692,0.07287207426933451,0,27,4,30,1,山东,31,True,False
15,1.3263661360597274,1.7689334802863668,1.770782958449999,1.3144349634860897,1.7658564666441063,1.769878618551554,0.0009043398984449794,0.0030761343756651512,0.03336213294270285,0.051462869159522744,0.08462591480008301,0.09,0,9,22,0.12030381915933375,0.06804797544419017,0.07262556215444005,0,0,31,31,0,,31,False,False
16,1.3263674155937448,1.768933822193568,1.770783011245493,1.3144349634860897,1.7658564666441063,1.769878618551554,0.0009043926939390378,0.00307647628286632,0.0333657173531207,0.05146396261818577,0.08462593105227777,0.09,0,9,22,0.044825744981083604,0.0002818360650842511,0.07265793893934602,0,26,5,31,0,,31,True,False
17,1.3263917227927096,1.9455259626295969,1.9477518759342405,1.3144349634860897,1.9424421133085172,1.9468664804067095,0.000877315315504142,0.00308288212782496,0.03344226104165838,0.047724665139528444,0.08397450510593726,0.09,0,10,21,0.120559108549948,0.06778469234085993,0.07261173988483849,0,0,31,30,1,山东,31,False,False
18,1.326282829870715,1.945497017785415,1.9477437617620215,1.3144349634860897,1.9424421133085172,1.9468664804067095,0.0008772813553119603,0.003053937283642982,0.033139688632727024,0.04772690271305604,0.0839744953137985,0.09,0,10,21,0.045204741805283666,0.0003817733816144919,0.07253117777738405,0,25,6,30,1,山东,31,True,False
19,1.3261439007545803,2.1397043327133813,2.142413078058108,1.3144349634860897,2.1366863246393692,2.1415531284473808,0.000859235931938748,0.003016944161432003,0.03274860201809491,0.043403261389417025,0.08396300167009917,0.09,0,15,16,0.12089970257072036,0.06779850326298398,0.07253409963930202,0,0,31,30,1,山东,31,False,False
20,1.3258282637555476,2.139620420034785,2.1424123558214117,1.3144349634860897,2.1366863246393692,2.1415531284473808,0.0008592273740311022,0.0029330314828355814,0.03187142990076913,0.04341411926270804,0.08396300060830394,0.09,0,15,16,0.04367608520970778,0.0007626785481644749,0.07288250070567792,0,22,9,30,1,山东,31,True,False
