turn,province_index,province,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,firm_K_total_over_Ktarget,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,A,B,L,C,nk_gap,yt_gap,GDP_level_gap,Zt_before,Zt_after,govinv_action,adaptation_gate_open
15,4,内蒙古,82165502.99427319,200846.43478562662,131990809.60383992,131990809.60383992,132191656.03862554,0.002444413135274366,1.6064017719582326,1.6064017719582326,1.608846185093507,0.06332883214195101,0.06332883214195101,0.057301199809852474,0.7455766541745241,0.8,6.850239125119417,1.6026167710559294,0.6672337691937107,9.340617374920747,0.01820804766480033,0.06804797544419017,0.00028413521971459854,0.2817509429184086,0.2817509429184086,NONE,False
15,5,辽宁,90061052.78222083,202246.11818363416,159173546.89038363,159173546.89038363,159375793.00856727,0.002245655718379078,1.7673960271737628,1.7673960271737628,1.7696416828921417,0.0894393521944649,0.0894393521944649,0.08248600725903577,1.1313534862650396,1.1313534862650396,7.332685501623832,4.663498156855132,0.6927580088689325,8.499535448728093,0.12005135051556404,0.00022454898156998304,0.07243781269312466,0.3785243855913536,0.3785243855913536,NONE,False
15,6,吉林,66308917.7271201,204744.0431338528,96771251.25344332,96771251.25344332,96975995.29657717,0.003087730129700386,1.4594002521905773,1.4594002521905773,1.4624879823202777,0.05897775631620009,0.05897775631620009,0.05178050623247397,0.5317304588905176,0.8,6.122776146741136,1.6945224736681348,0.685737330406325,8.764813165330333,0.002627918382265504,0.0002467294046749613,0.00025976267930638564,0.24764481231042018,0.24764481231042018,NONE,False
15,7,黑龙江,58424879.89838116,206623.059603272,103120418.24502419,103120418.24502419,103327041.30462746,0.003536559424044227,1.7650086474184,1.7650086474184,1.768545206842444,0.07145747531168864,0.07145747531168864,0.07648239924478073,0.6677341615792219,0.8,7.3567271595211405,4.653836424554724,0.7117844889443656,7.713529994919717,0.11947840240912644,0.000297998576968328,0.07243810899487446,0.29092174766150053,0.29092174766150053,NONE,False
15,8,上海,66125294.30800852,203410.29092184018,116767836.70430395,116767836.70430395,116971246.99522579,0.0030761343756651512,1.7658573459107016,1.7658573459107016,1.7689334802863668,0.21996847140874973,0.09,0.07854536205805568,1.7265721108716698,1.3,7.320266655092235,4.674487196363886,0.6873087959429384,9.119294224625367,0.1194444778497099,0.00028584931960429216,0.07247872245054676,0.7223024988352026,0.7223024988352026,NONE,False
15,9,江苏,203535217.25929242,187951.86526104456,360225184.982758,360225184.982758,360413136.848019,0.000923436581599559,1.7698420442092404,1.7698420442092404,1.77076548079084,0.1789540160789724,0.09,0.08034838867270853,4.517864345180728,1.3,7.311316481106651,4.676889388977749,0.6813129189295525,9.39058574443127,0.11965468457406181,0.00023945767592814526,0.07261516681586166,0.8190533275357799,0.8190533275357799,NONE,False
15,10,浙江,124249656.20818298,199409.77849923747,219745761.31666788,219745761.31666788,219945171.09516713,0.0016049121147274812,1.7685824494232736,1.7685824494232736,1.770187361538001,0.18316222748608954,0.09,0.08329693105371971,2.7881116906683747,1.3,7.314417924289818,4.67242876133222,0.6814982246271614,9.172346110096996,0.11958358893164811,0.00025250679688904043,0.0725737918499132,0.7320734845655528,0.7320734845655528,NONE,False
15,11,安徽,70182433.35888097,209794.3772148207,123944664.86742537,123944664.86742537,124154459.24464019,0.0029892719185444583,1.7660354441349855,1.7660354441349855,1.76902471605353,0.19161871602091185,0.09,0.08894895713656485,1.6056665951350657,1.3,7.313167652092944,4.66959188240823,0.6764494731519305,9.161461861504884,0.11945357204982421,0.0002808556497437831,0.07248685817790057,0.6512448221237143,0.6512448221237143,NONE,False
15,12,福建,87795538.11850408,202340.13241088734,155159890.54541552,155159890.54541552,155362230.6778264,0.0023046744373019733,1.767286742248619,1.767286742248619,1.769591416685921,0.1710247330839843,0.09,0.08220833087451382,1.8420586769946152,1.3,7.3205957435919515,4.670082892044514,0.6858459075123613,8.956039709737682,0.11950412542181299,0.0002653996823948068,0.07253227536267803,0.6299708857718251,0.6299708857718251,NONE,False
15,13,江西,51050047.92908307,210488.45683454286,90048642.7571582,90048642.7571582,90259131.21399274,0.004123178437108345,1.7639286623638553,1.7639286623638553,1.7680518408009636,0.17316583299639926,0.09,0.08911215308961043,1.0953072254175285,1.0953072254175285,7.316366215271916,4.667431321805285,0.6783986222231554,9.01778436332049,0.12030381915933375,0.0002647612741217831,0.07222395702172912,0.5539260215343923,0.5539260215343923,NONE,False
