stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,2,28,青海,True,27,3.9706327115140994e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,29,宁夏,True,51,6.684846010074352e-10,HJB_CONVERGED
OUTER_TRAJECTORY,2,30,新疆,True,20,4.965931221789788e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,0,北京,True,26,6.614602932053515e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,1,天津,True,21,9.411031953732163e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,2,河北,True,59,7.827138936988831e-11,HJB_CONVERGED
OUTER_TRAJECTORY,3,3,山西,True,85,1.6257528656637987e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,4,内蒙古,True,27,9.858849514543522e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,5,辽宁,True,17,1.1940137767396664e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,6,吉林,True,25,7.556026782040703e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,7,黑龙江,True,13,1.0564503938326197e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,8,上海,True,13,2.393441356218773e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,9,江苏,True,16,1.4461543074162364e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,10,浙江,True,14,1.6809615477342277e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,11,安徽,True,46,5.211453490971962e-11,HJB_CONVERGED
OUTER_TRAJECTORY,3,12,福建,True,15,6.019158238501632e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,13,江西,False,100,0.747658088038178,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,14,山东,False,100,0.005179111760163613,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,15,河南,False,100,0.03637211058891787,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,16,湖北,True,25,3.100358414442894e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,17,湖南,False,100,2.14298749968137,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,18,广东,True,14,1.6312604600443592e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,19,广西,True,13,7.069463814346477e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,20,海南,True,13,4.7498430078007914e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,21,重庆,True,14,9.046125626355206e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,22,四川,False,100,0.016171281341869514,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,23,贵州,False,100,0.373323616942143,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,24,云南,True,13,2.5565868089216792e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,25,西藏,True,14,1.426491813560915e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,26,陕西,True,14,8.399889273036365e-08,HJB_CONVERGED
OUTER_TRAJECTORY,3,27,甘肃,False,100,0.14573634061404905,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,3,28,青海,True,25,1.6400480973288722e-10,HJB_CONVERGED
OUTER_TRAJECTORY,3,29,宁夏,True,29,5.778615363993822e-09,HJB_CONVERGED
OUTER_TRAJECTORY,3,30,新疆,True,21,4.732931291329123e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,0,北京,True,93,1.1653506604147879e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,1,天津,True,21,3.909865764484266e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,2,河北,True,80,9.072054218961512e-11,HJB_CONVERGED
OUTER_TRAJECTORY,4,3,山西,True,63,2.019393263719138e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,4,内蒙古,True,26,9.873463380216663e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,5,辽宁,True,19,8.392375683285991e-11,HJB_CONVERGED
OUTER_TRAJECTORY,4,6,吉林,True,25,7.012701797037835e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,7,黑龙江,True,13,1.0562375862832596e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,8,上海,True,13,3.059686304318632e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,9,江苏,True,16,1.4300201023331738e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,10,浙江,True,14,1.6578664885358307e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,11,安徽,False,100,1.0393021657076749,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,12,福建,True,15,5.964658900126096e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,13,江西,False,100,0.27640160664503743,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,14,山东,True,33,7.719093852998071e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,15,河南,True,91,3.856828190151873e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,16,湖北,True,25,2.4793234132403086e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,17,湖南,True,100,9.69475610901327e-11,HJB_CONVERGED
OUTER_TRAJECTORY,4,18,广东,True,14,1.623539525041906e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,19,广西,True,13,6.737139335299958e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,20,海南,True,13,4.661462948973849e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,21,重庆,True,14,8.574238652414579e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,22,四川,True,51,1.972448870901644e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,23,贵州,True,32,7.253821165953411e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,24,云南,True,13,2.5872577413821318e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,25,西藏,True,14,1.4262595549041635e-09,HJB_CONVERGED
OUTER_TRAJECTORY,4,26,陕西,True,14,7.997888462618619e-08,HJB_CONVERGED
OUTER_TRAJECTORY,4,27,甘肃,False,100,0.15582098875398054,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,28,青海,True,25,1.680948713556063e-10,HJB_CONVERGED
OUTER_TRAJECTORY,4,29,宁夏,False,100,0.0005252518285654428,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,4,30,新疆,True,100,3.838291018354312e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,0,北京,True,51,1.2946088645549025e-11,HJB_CONVERGED
OUTER_TRAJECTORY,5,1,天津,True,21,3.360343114877651e-10,HJB_CONVERGED
OUTER_TRAJECTORY,5,2,河北,True,81,3.2729488008698127e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,3,山西,False,100,0.07550024307412162,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,4,内蒙古,True,26,9.808005296818578e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,5,辽宁,False,100,0.3324891153229117,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,6,吉林,True,25,6.626854887059608e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,7,黑龙江,True,13,1.056096987639421e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,8,上海,True,13,3.0599757394611515e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,9,江苏,True,16,1.4183814123214233e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,10,浙江,True,14,1.6472735175909747e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,11,安徽,True,87,4.8421328280312537e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,12,福建,True,15,5.9522331952166496e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,13,江西,False,100,0.46505532540713235,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,14,山东,False,100,0.15953428471913345,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,15,河南,False,100,0.008149001733889216,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,16,湖北,True,35,1.328194887406653e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,17,湖南,False,100,0.43598628654079863,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,18,广东,True,14,1.6111578737820764e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,19,广西,True,13,6.665403295968986e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,20,海南,True,13,4.677886611403892e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,21,重庆,True,14,8.495125269902815e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,22,四川,False,100,1.1277257161165073,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,23,贵州,False,100,0.028062599616658135,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
