step,index_0,index_1,name,mt,ra0,wt0,ra,wjt,rk,divrate,Zt_used,Zt_after,GovInv_used,GovInv_after,Zt_changed,GovInv_ratio,Yt,Kt,Lt_supply,Y_over_K,Kt_supply_derived,alpha,N,Kt0,Zt_init,production_identity_pass,nk_gap,yt_gap,Y_over_target,z_reset_candidate,provenance,raw_price_gap,gate,expected_gov_multiplier,inferred_ra_trigger,captured_action_class,enabled_action_is_source_multiplier,gov_expectation_matches,zt_expectation_matches,action_evidence
1,20,21,海南,,,,,,,,0.00038281495183633223,0.00038281495183633223,10030399.0365303,10030399.0365303,False,1.0,2825.960844542646,10130235.428006176,2514799.995581939,0.00027896299791117975,99836.3914758768,0.772866243094144,53600.0,10030399.0365303,0.00038281495183633223,True,0.34274898544658505,0.9994245287638718,0.0005754712361282521,0.6652199585367572,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,21,22,重庆,,,,,,,,0.0006868337888017926,0.0006868337888017926,39300958.3175844,39300958.3175844,False,1.0,14512.277375239843,39399154.35456062,2535743.29499116,0.000368339818784968,98196.03697621822,0.772866243094144,166323.0,39300958.3175844,0.0006868337888017926,True,4.179172307173937,0.9992873279002337,0.0007126720997662863,0.9637444612003656,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,22,23,四川,,,,,,,,0.0007046610342276092,0.0007046610342276092,69531075.8089531,69531075.8089531,False,1.0,23143.19499055439,69630049.44208859,2546607.8912726496,0.00033237366878222053,98973.63313548267,0.772866243094144,469000.0,69531075.8089531,0.0007046610342276092,True,8.114091164265242,0.999460557991554,0.0005394420084460759,1.3062776409598977,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,23,24,贵州,,,,,,,,0.0006090843098101169,0.0006090843098101169,32803436.570136297,32803436.570136297,False,1.0,11218.327801787324,32902624.417158253,2557649.020887696,0.0003409554101081713,99187.847021956,0.772866243094144,188600.0,32803436.570136297,0.0006090843098101169,True,3.288133900631731,0.9992693171133732,0.0007306828866267916,0.8335822844051592,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,24,25,云南,,,,,,,,0.0007110216288681008,0.0007110216288681008,53834280.8089249,53834280.8089249,False,1.0,19147.97555524667,53932457.38692126,2534857.5104524065,0.0003550362153512793,98176.57799635828,0.772866243094144,282200.0,53834280.8089249,0.0007110216288681008,True,6.092109012641071,0.9990829790310327,0.000917020968967252,0.7753602730250023,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,25,26,西藏,,,,,,,,0.0007579273359250301,0.0007579273359250301,6015865.97237512,6015865.97237512,False,1.0,3744.602527375998,6115525.434496434,2390559.747294758,0.0006123108418866933,99659.46212131437,0.772866243094144,7853.660000000001,6015865.97237512,0.0007579273359250301,True,0.14726729567318841,0.9974658050206235,0.0025341949793764324,0.29908011896998027,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,26,27,陕西,,,,,,,,0.000652876469041312,0.000652876469041312,50576819.2081364,50576819.2081364,False,1.0,16781.28282313634,50674402.61342167,2552109.0736182737,0.0003311589670065816,97583.40528526902,0.772866243094144,211200.0,50576819.2081364,0.000652876469041312,True,5.618630728763957,0.9992990824938085,0.0007009175061915079,0.9314597841745589,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,27,28,甘肃,,,,,,,,0.0005131096729274248,0.0005131096729274248,18423950.2203418,18423950.2203418,False,1.0,6067.961389777771,18523950.23197946,2568292.692093239,0.0003275738335391409,100000.01163765788,0.772866243094144,133700.0,18423950.2203418,0.0005131096729274248,True,1.404184731878808,0.9992641416682095,0.0007358583317905156,0.6972940996385933,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,28,29,青海,,,,,,,,0.0005277056201467056,0.0005277056201467056,13038007.4590434,13038007.4590434,False,1.0,4754.069629535503,13137247.297365654,2495794.8054442047,0.00036187715142492694,99239.8383222539,0.772866243094144,32930.0,13038007.4590434,0.0005277056201467056,True,0.7545843203547431,0.9982699892177819,0.0017300107822181597,0.30503024927399586,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
1,29,30,宁夏,,,,,,,,0.000594643144096446,0.000594643144096446,13881227.2259032,13881227.2259032,False,1.0,5642.366647631903,13980397.550842786,2537943.860097601,0.00040359128752327664,99170.32493958622,0.772866243094144,34500.0,13881227.2259032,0.000594643144096446,True,0.8361842396184374,0.9983925843047476,0.0016074156952523933,0.36993737578447394,CAPTURED_SCALARS_WITH_DERIVED_GAPS,"missing current household Lt used as Lt_prev, and carried rk",CLOSED,1.0,no price inference,UNCHANGED,True,True,True,CAPTURED_BEFORE_AFTER_STATES__NO_ACTION_EVENT
