turn,hjb_converged_count,kfe_returned_count,kfe_valid_count,kfe_diagnostic_only_count,max_kfe_source_free_residual_inf,max_kfe_source_free_normwise_ratio,upper_b_leak_cells,max_upper_b_leak_rate,hjb_operator_valid_count,hjb_operator_diagnostic_only_count,hjb_negative_offdiagonal_count,minimum_hjb_offdiagonal,post_convergence_negative_offdiagonal_count
39,31,31,0,31,0.0016498087077390473,6.281061348252787e-05,620,2.3173244594243307,0,31,589,-2.3170292340226157,0
40,31,31,0,31,0.0016507404100482713,6.280888541977598e-05,620,2.3170671305358512,0,31,589,-2.3167719020070705,0
41,31,31,0,31,0.001649810292245332,6.281061054259228e-05,620,2.3173240236699586,0,31,589,-2.317028798262949,0
42,31,31,0,31,0.001650742181324484,6.280888211613084e-05,620,2.31706664351377,0,31,589,-2.3167714149790823,0
43,31,31,0,31,0.0016498120527030694,6.281060727407653e-05,620,2.3173235394928944,0,31,589,-2.3170283140800003,0
44,31,31,0,31,0.001650744149383923,6.280887844775051e-05,620,2.317066102334705,0,31,589,-2.316770873793442,0
45,31,31,0,31,0.0016498140088778788,6.281060364413502e-05,620,2.317323001530095,0,31,589,-2.3170277761106717,0
46,31,31,0,31,0.0016507463361934603,6.280887436788822e-05,620,2.31706550100418,0,31,589,-2.3167702724556047,0
47,31,31,0,31,0.0016498161823750087,6.28105996103432e-05,620,2.3173224037562083,0,31,589,-2.317027178329507,0
48,31,31,0,31,0.0016507487659540333,6.280886983646863e-05,620,2.317064832883349,0,31,589,-2.3167696043266615,0
49,31,31,0,31,0.001649818597413347,6.281059512628442e-05,620,2.3173217395621557,0,31,589,-2.3170265141273805,0
50,31,31,0,31,0.0016507514658252256,6.280886480138835e-05,620,2.3170640905015887,0,31,589,-2.3167688619358806,0
51,31,31,0,31,0.0016498212808336611,6.281059014650762e-05,620,2.317321001580677,0,31,589,-2.317025776136933,0
52,31,31,0,31,0.001650754465588582,6.280885920600962e-05,620,2.3170632656254004,0,31,589,-2.316768037049669,0
53,31,31,0,31,0.0016498242624666266,6.281058461143019e-05,620,2.317320181591014,0,31,589,-2.317024956137315,0
54,31,31,0,31,0.0016507577987742387,6.280885298838671e-05,620,2.3170623490905076,0,31,589,-2.3167671205036413,0
55,31,31,0,31,0.001649827575447486,6.281057846136535e-05,620,2.3173192704741816,0,31,589,-2.3170240450094064,0
56,31,31,0,31,0.0016507615023024001,6.280884608250935e-05,620,2.317061330692477,0,31,589,-2.3167661020932337,0
57,31,31,0,31,0.0016498312565484548,6.281057162963774e-05,620,2.317318258081857,0,31,589,-2.317023032604766,0
58,31,31,0,31,0.0016507656174353778,6.280883840663199e-05,620,2.3170601991523054,0,31,589,-2.3167649705393236,0
59,31,31,0,31,0.0016498353467432622,6.281056403641889e-05,620,2.317317133212575,0,31,589,-2.3170219077218235,0
60,31,31,0,31,0.0016507701899409692,6.280882987836741e-05,620,2.317058941837359,0,31,589,-2.3167637132091006,0
61,31,31,0,31,0.0016498398915348904,6.281055560026467e-05,620,2.31731588331037,0,31,589,-2.3170206578044237,0
62,31,31,0,31,0.001650775270595612,6.280882040160672e-05,620,2.3170575447810116,0,31,589,-2.3167623161357787,0
63,31,31,0,31,0.0016498449414170274,6.281054622479843e-05,620,2.317314494515601,0,31,589,-2.3170192689927793,0
64,31,31,0,31,0.001650780915819459,6.280880986997109e-05,620,2.3170559924775946,0,31,589,-2.316760763813503,0
65,31,31,0,31,0.0016498505525360638,6.281053580884359e-05,620,2.3173129513580237,0,31,589,-2.317017725816451,0
66,31,31,0,31,0.0016507871885241329,6.28087981694882e-05,620,2.3170542676405814,0,31,589,-2.316759038955525,0
67,31,31,0,31,0.0016498567873129099,6.281052423447171e-05,620,2.3173112366727917,0,31,589,-2.3170160111103617,0
68,31,31,0,31,0.0016507941583635338,6.280878516839124e-05,620,2.3170523511168137,0,31,589,-2.3167571224084775,0
69,31,31,0,31,0.001649863715040478,6.281051137326828e-05,620,2.317309331433467,0,31,589,-2.3170141058478833,0
70,31,31,0,31,0.0016508019028188823,6.280877072123835e-05,620,2.317050221593976,0,31,589,-2.3167549928597695,0
71,31,31,0,31,0.0016498714127975646,6.28104970815735e-05,620,2.3173072144285913,0,31,589,-2.3170119888172755,0
72,31,31,0,31,0.0016508105082064953,6.280875466595156e-05,620,2.3170478553511136,0,31,589,-2.316752626588159,0
73,31,31,0,31,0.001649879966162171,6.281048120004366e-05,620,2.317304862093085,0,31,589,-2.317009636453177,0
74,31,31,0,31,0.0016508200700273128,6.280873682629766e-05,620,2.3170452261003036,0,31,589,-2.316749997305408,0
75,31,31,0,31,0.0016498894702906177,6.281046355260044e-05,620,2.3173022482967474,0,31,589,-2.3170070226250776,0
76,31,31,0,31,0.0016508306947766922,6.28087170044191e-05,620,2.3170423045860655,0,31,589,-2.3167470757556754,0
77,31,31,0,31,0.0016499000310354107,6.281044394452204e-05,620,2.3172993439435228,0,31,589,-2.31700411823655,0
78,31,31,0,31,0.0016508425005598156,6.280869497582343e-05,620,2.317039058324465,0,31,589,-2.3167438294546456,0
79,31,31,0,31,0.0016499117657825246,6.281042215347551e-05,620,2.3172961166851542,0,31,589,-2.3170008909389614,0
80,31,31,0,31,0.0016508556188325094,6.280867049714075e-05,620,2.3170354511667104,0,31,589,-2.3167402222530584,0
81,31,31,0,31,0.0016499248051595151,6.281039793750345e-05,620,2.3172925306445196,0,31,589,-2.3169973048547408,0
82,31,31,0,31,0.0016508701955072187,6.280864329556639e-05,620,2.3170314429753365,0,31,589,-2.316736214012986,0
83,31,31,0,31,0.001649939294334223,6.281037102898997e-05,620,2.3172885459028505,0,31,589,-2.316993320064644,0
84,31,31,0,31,0.0016508863928872974,6.28086130664152e-05,620,2.3170269891660844,0,31,589,-2.3167317601496307,0
85,31,31,0,31,0.0016499553946330277,6.28103411243745e-05,620,2.317284118075474,0,31,589,-2.3169888921834474,0
86,31,31,0,31,0.001650904391261513,6.28085794735246e-05,620,2.31702204014902,0,31,589,-2.3167268110724457,0
87,31,31,0,31,0.0016499732853081143,6.281030789223692e-05,620,2.317279197909661,0,31,589,-2.3169839719578453,0
88,31,31,0,31,0.0016509243910155138,6.280854214114193e-05,620,2.31701654075912,0,31,589,-2.3167213116157273,0
89,31,31,0,31,0.0016499931656071903,6.281027096035354e-05,620,2.317273730531195,0,31,589,-2.3169785045129205,0
90,31,31,0,31,0.0016509466150745461,6.280850065262993e-05,620,2.317010429826909,0,31,589,-2.3167152006092753,0
91,31,31,0,31,0.0016500152570887157,6.281022991656328e-05,620,2.3172676550948865,0,31,589,-2.3169724290027864,0
92,31,31,0,31,0.0016509713108949,6.28084545443286e-05,620,2.317003639246323,0,31,589,-2.3167084099462047,0
93,31,31,0,31,0.0016500398059463854,6.281018430227674e-05,620,2.317260903844316,0,31,589,-2.3169656776701584,0
94,31,31,0,31,0.0016509987537212604,6.280840330051394e-05,620,2.316996093335856,0,31,589,-2.316700863944069,0
95,31,31,0,31,0.00165006708589247,6.281013360578157e-05,620,2.317253401540628,0,31,589,-2.316958175275295,0
96,31,31,0,31,0.0016510292495067497,6.280834634830346e-05,620,2.3169877079680203,0,31,589,-2.3166924784743537,0
97,31,31,0,31,0.00165009740119502,6.281007726175304e-05,620,2.317245064504333,0,31,589,-2.3169498381376763,0
98,31,31,0,31,0.0016510631382848587,6.280828304825722e-05,620,2.3169783896626632,0,31,589,-2.316683160055801,0
99,31,31,0,31,0.0016501310900606642,6.281001463482675e-05,620,2.317235799741739,0,31,589,-2.3169405732624884,0
100,31,31,0,31,0.0016511007982880068,6.280821269179423e-05,620,2.3169680344567176,0,31,589,-2.3166728047240652,0
