turn,route,total_K_ratio_min,total_K_ratio_median,total_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,ra_lower,ra_interior,ra_upper,rah_min,rah_median,rah_max,max_KN_gap,max_GDP_level_gap,HJB_converged_count,Zt_adjustment_count
10,G0_C0,1.3319225753059416,1.3341249344082529,1.3649691939856214,1.3310000000000002,1.3310000000000004,1.3310000000000006,0.0009225753059411863,0.003124934408252454,0.033969193985620934,0,4,27,0.06297179019619578,0.08487389786578918,0.09,0.04473118441578339,0.07364322657048206,30,31
10,G1_C0,1.3185668352177038,1.3298633729630156,1.3306586730421648,1.2845944693419382,1.3267275019914337,1.3297360019170201,0.0009226711251447254,0.0031252254799102276,0.03397236587576555,0,4,27,0.06407191920704386,0.08487445980108937,0.09,0.04467542392372148,0.07294013388675724,31,31
10,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193841804443,0.9968741558704051,0.9990771059103886,0.0009228940896115257,0.0031258441295950452,0.03398061581955575,0,1,30,0.06490310099206888,0.08488047660075992,0.09,0.0018811072162292497,0.007556182220820884,31,0
15,G0_C0,1.3432297338643733,1.7744016453786362,1.8057364597641556,1.3310000000000002,1.7715610000000008,1.771561000000001,0.0009030243083340104,0.0031539393935032284,0.03417545976415483,0,9,22,0.05058003399962011,0.08462481001268606,0.09,0.11977870912758526,0.07276692890239889,31,0
15,G1_C0,1.3263661360597274,1.7689334802863668,1.770782958449999,1.3144349634860897,1.7658564666441063,1.769878618551554,0.0009043398984449794,0.0030761343756651512,0.03336213294270285,0,9,22,0.051462869159522744,0.08462591480008301,0.09,0.12030381915933375,0.07262556215444005,31,0
15,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.9660193863002788,0.9968741560681396,0.999077105969322,0.0009228940306780967,0.0031258439318604778,0.03398061369972118,0,1,30,0.06490309855746208,0.08488047609984359,0.09,1.9242793275697778e-05,0.00755632372545989,31,0
20,G0_C0,1.3426262555560828,2.145773745027009,2.176092678071516,1.3310000000000002,2.143588810000001,2.143588810000002,0.0008574484295442857,0.0029933772767265824,0.032503868071514765,0,15,16,0.04322945238003714,0.08396122774514606,0.09,0.04796375433560507,0.07186854955516542,30,25
20,G1_C0,1.3258282637555476,2.139620420034785,2.1424123558214117,1.3144349634860897,2.1366863246393692,2.1415531284473808,0.0008592273740311022,0.0029330314828355814,0.03187142990076913,0,15,16,0.04341411926270804,0.08396300060830394,0.09,0.04367608520970778,0.07288250070567792,30,25
20,G1_C1_CONTEMPORANEOUS,1.0,1.0,1.0,0.966019386300274,0.9968741560681392,0.9990771059693219,0.0009228940306782342,0.0031258439318608685,0.033980613699726075,0,1,30,0.06490309855747681,0.08488047609984661,0.09,1.9704239750950592e-07,0.007556323724975167,31,0
21,G0_C0,1.3428325184766654,2.359925254524894,2.372180215735405,1.3310000000000002,2.3579476910000015,2.3579476910000023,0.0008701420454369984,0.003048129676079274,0.03308214700740542,0,18,13,0.04317630301108494,0.0802883423697388,0.09,0.12055999839991971,0.07281641162438479,29,0
