stage,turn,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,5,河北,True,38,8.219025460221019e-11,HJB_CONVERGED
OUTER_TRAJECTORY,5,山西,False,100,0.00930867648798217,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,内蒙古,True,26,9.865259498198498e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,辽宁,True,19,2.2292652168687255e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,吉林,True,25,6.860579349066143e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,黑龙江,True,13,1.0561845620316035e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,上海,True,13,3.0596184918962877e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,江苏,True,16,1.4286445360056632e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,浙江,True,14,1.656730086452285e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,安徽,False,100,0.2865274258714896,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,福建,True,15,5.96361444671345e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,江西,False,100,2.147906703248866,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,山东,True,52,2.5544276249789277e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,河南,False,100,0.0007773054393593881,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,湖北,True,25,2.347710914563095e-10,HJB_CONVERGED
OUTER_TRAJECTORY,5,湖南,True,92,9.777448584102899e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,广东,True,14,1.6236776367861694e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,广西,True,13,6.742116065439063e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,海南,True,13,4.658018726289015e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,重庆,True,14,8.575374188524165e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,四川,False,100,3.789946247368676,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,贵州,False,100,0.7719060985133999,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,5,云南,True,13,2.586478720090213e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,西藏,True,14,1.4263092928956667e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,陕西,True,14,7.996336059967746e-08,HJB_CONVERGED
OUTER_TRAJECTORY,5,甘肃,True,53,2.6090851701354723e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,青海,True,25,1.6858070495118227e-10,HJB_CONVERGED
OUTER_TRAJECTORY,5,宁夏,True,46,1.7474413027684932e-09,HJB_CONVERGED
OUTER_TRAJECTORY,5,新疆,False,100,0.6996770202314857,HJB_NONCONVERGED_DIAGNOSTIC_ONLY
OUTER_TRAJECTORY,6,北京,True,25,5.311108353112104e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,天津,True,22,4.288228616644574e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,河北,True,13,1.0556362450842016e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,山西,True,13,1.3305832879950685e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,内蒙古,True,25,1.975100083484449e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,辽宁,True,25,3.198488274236411e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,吉林,True,26,6.416209785697902e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,黑龙江,True,16,2.720118796872839e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,上海,True,25,6.779692585112684e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,江苏,True,16,1.228988244506013e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,浙江,True,15,8.449752009198619e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,安徽,True,14,1.2258412063204105e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,福建,True,15,5.8902629440638066e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,江西,True,14,1.7330124002512548e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,山东,True,15,1.3045164948266574e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,河南,True,13,6.776325722768206e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,湖北,True,13,7.080984687490854e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,湖南,True,14,2.469331406018682e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,广东,True,13,1.4995196195854987e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,广西,True,13,1.7206188029916802e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,海南,True,14,2.329276060919483e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,重庆,True,13,1.3381650010302337e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,四川,True,13,2.0089932828426527e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,贵州,True,13,2.232145801528418e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,云南,True,14,8.972667053797068e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,西藏,True,16,2.7356117371368782e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,陕西,True,14,3.080923960396831e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,甘肃,True,13,2.258360298768025e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,青海,True,27,6.314753164815556e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,宁夏,True,26,6.170099986491095e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,新疆,True,16,2.680709432212325e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,北京,True,25,2.573769641855961e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,天津,True,25,1.1165730562368026e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,河北,True,13,2.6030887223527088e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,山西,True,13,9.683449908592934e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,内蒙古,True,25,4.497433536698736e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,辽宁,True,16,1.0120038140826182e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,吉林,True,25,5.864758190199382e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,黑龙江,True,27,5.933010971403974e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,上海,True,26,5.402522873509952e-11,HJB_CONVERGED
OUTER_TRAJECTORY,7,江苏,True,15,7.590275075131103e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,浙江,True,25,7.84097231587566e-11,HJB_CONVERGED
OUTER_TRAJECTORY,7,安徽,True,13,9.813964796379082e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,福建,True,15,1.2968205620467188e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,江西,True,14,4.322653346378047e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,山东,True,15,8.335230283762485e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,河南,True,13,4.196790026611552e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,湖北,True,13,3.15932568994981e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,湖南,True,13,4.570314748875148e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,广东,True,13,1.101297630867748e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,广西,True,13,1.8978768778765698e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,海南,True,13,1.5562958477488564e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,重庆,True,13,8.857067079759418e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,四川,True,14,1.6612373698876581e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,贵州,True,14,2.0489907548437714e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,云南,True,14,1.5282224374857378e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,西藏,True,16,2.7143389758066405e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,陕西,True,29,1.2563750040328614e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,甘肃,True,13,2.0333485117873806e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,青海,True,27,2.6376278938755604e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,宁夏,True,24,3.560363159849089e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,新疆,True,16,2.673946841724728e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,北京,True,25,1.2151755157674415e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,天津,True,25,6.295878041129299e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,河北,True,13,2.9512374766227367e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,山西,True,13,7.763813147931842e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,内蒙古,True,25,1.601151211616525e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,辽宁,True,15,9.672601253285507e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,吉林,True,27,8.314515564933345e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,黑龙江,True,26,6.674305552678561e-11,HJB_CONVERGED
OUTER_TRAJECTORY,8,上海,True,25,2.659688469464072e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,江苏,True,14,1.9912076432149206e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,浙江,True,18,7.169465021661381e-11,HJB_CONVERGED
OUTER_TRAJECTORY,8,安徽,True,14,1.4128298531090877e-10,HJB_CONVERGED
OUTER_TRAJECTORY,8,福建,True,15,6.791741835598941e-09,HJB_CONVERGED
