population,group,threshold,count,abs_exceed_count,abs_exceed_share,positive_exceed_count,positive_exceed_share,negative_exceed_count,negative_exceed_share
RAW_BRANCH_CELLS,TURN2_COMMON_ENTERING_STATE,100000000.0,19616000,73,3.721451876019576e-06,44,2.2430668841761828e-06,29,1.4783849918433932e-06
RAW_BRANCH_CELLS,d_bb,100.0,21756800,2395794,0.11011702088542433,794514,0.03651796220032358,1601280,0.07359905868510075
RAW_BRANCH_CELLS,d_bb,300.0,21756800,1164902,0.0535419730842771,471828,0.021686461244300632,693074,0.031855511839976466
RAW_BRANCH_CELLS,d_bb,1000.0,21756800,560761,0.02577405684659509,241230,0.011087568024709516,319531,0.014686488821885571
RAW_BRANCH_CELLS,d_bb,3000.0,21756800,270972,0.012454588910133842,111883,0.005142438226209737,159089,0.0073121506839241065
RAW_BRANCH_CELLS,d_bb,10000.0,21756800,117374,0.0053948190910428,45814,0.002105732460655979,71560,0.0032890866303868214
RAW_BRANCH_CELLS,d_bb,30000.0,21756800,51028,0.0023453816737755554,19730,0.0009068429180761877,31298,0.0014385387556993675
RAW_BRANCH_CELLS,d_bb,100000.0,21756800,19502,0.0008963634357993822,7905,0.00036333468157081925,11597,0.000533028754228563
RAW_BRANCH_CELLS,d_bb,300000.0,21756800,8001,0.0003677470951610531,3318,0.00015250404471245772,4683,0.0002152430504485954
RAW_BRANCH_CELLS,d_bb,1000000.0,21756800,3074,0.00014128916017061333,1295,5.952162082659215e-05,1779,8.176753934402118e-05
RAW_BRANCH_CELLS,d_bb,3000000.0,21756800,1339,6.154397705544933e-05,568,2.610678040888366e-05,771,3.543719664656567e-05
RAW_BRANCH_CELLS,d_bb,10000000.0,21756800,511,2.3486909839682306e-05,208,9.560229445506692e-06,303,1.3926680394175613e-05
RAW_BRANCH_CELLS,d_bb,100000000.0,21756800,87,3.998749816149433e-06,41,1.8844683041623768e-06,46,2.114281511987057e-06
RAW_BRANCH_CELLS,d_bf,100.0,21756800,2020209,0.09285414215325784,838687,0.03854826996617149,1181522,0.05430587218708634
RAW_BRANCH_CELLS,d_bf,300.0,21756800,889852,0.04089994852184145,461342,0.021204496984850715,428510,0.019695451536990732
RAW_BRANCH_CELLS,d_bf,1000.0,21756800,387968,0.017832034122665097,217579,0.010000505589057214,170389,0.007831528533607884
RAW_BRANCH_CELLS,d_bf,3000.0,21756800,159441,0.007328329533754964,83100,0.0038194955140461832,76341,0.003508834019708781
RAW_BRANCH_CELLS,d_bf,10000.0,21756800,60286,0.0027709038093837327,29834,0.0013712494484483012,30452,0.0013996543609354317
RAW_BRANCH_CELLS,d_bf,30000.0,21756800,24913,0.0011450672893072512,12233,0.0005622609942638623,12680,0.0005828062950433888
RAW_BRANCH_CELLS,d_bf,100000.0,21756800,9377,0.00043099168995440506,4635,0.00021303684365347846,4742,0.0002179548463009266
RAW_BRANCH_CELLS,d_bf,300000.0,21756800,3932,0.00018072510663332843,1956,8.990292690101485e-05,1976,9.082217973231358e-05
RAW_BRANCH_CELLS,d_bf,1000000.0,21756800,1499,6.88979997058391e-05,742,3.410428004118253e-05,757,3.4793719664656566e-05
RAW_BRANCH_CELLS,d_bf,3000000.0,21756800,644,2.9599941167818795e-05,315,1.4478232092954846e-05,329,1.512170907486395e-05
RAW_BRANCH_CELLS,d_bf,10000000.0,21756800,263,1.2088174731578173e-05,122,5.6074422709221945e-06,141,6.480732460655979e-06
RAW_BRANCH_CELLS,d_bf,100000000.0,21756800,35,1.6086924547727608e-06,20,9.192528312987204e-07,15,6.894396234740403e-07
RAW_BRANCH_CELLS,d_fb,100.0,21756800,2487972,0.11435376525959699,818364,0.0376141712016473,1669608,0.0767395940579497
RAW_BRANCH_CELLS,d_fb,300.0,21756800,1126717,0.05178688961612002,480152,0.02206905427268716,646565,0.029717835343432857
RAW_BRANCH_CELLS,d_fb,1000.0,21756800,533143,0.024504660611854686,238227,0.010949542212090014,294916,0.01355511839976467
RAW_BRANCH_CELLS,d_fb,3000.0,21756800,253727,0.011661963156346522,108270,0.004976375202235623,145457,0.006685587954110899
RAW_BRANCH_CELLS,d_fb,10000.0,21756800,108116,0.004969296955434623,43762,0.0020114171201647303,64354,0.002957879835269893
RAW_BRANCH_CELLS,d_fb,30000.0,21756800,46539,0.0021390553757905575,18520,0.0008512281217826151,28019,0.0012878272540079424
RAW_BRANCH_CELLS,d_fb,100000.0,21756800,17689,0.0008130331666421532,7261,0.00033373474040300044,10428,0.0004792984262391528
RAW_BRANCH_CELLS,d_fb,300000.0,21756800,7281,0.00033465399323429914,3064,0.00014082953375496398,4217,0.0001938244594793352
RAW_BRANCH_CELLS,d_fb,1000000.0,21756800,2765,0.0001270867039270481,1185,5.446573025444918e-05,1580,7.26209736725989e-05
RAW_BRANCH_CELLS,d_fb,3000000.0,21756800,1218,5.598249742609207e-05,529,2.4314237387851155e-05,689,3.1668260038240915e-05
RAW_BRANCH_CELLS,d_fb,10000000.0,21756800,473,2.1740329460214737e-05,197,9.054640388292396e-06,276,1.2685689071922341e-05
RAW_BRANCH_CELLS,d_fb,100000000.0,21756800,80,3.6770113251948815e-06,41,1.8844683041623768e-06,39,1.7925430210325048e-06
RAW_BRANCH_CELLS,d_ff,100.0,21756800,2017766,0.0927418554199147,854655,0.039282201426680395,1163111,0.053459653993234296
RAW_BRANCH_CELLS,d_ff,300.0,21756800,884648,0.04066075893513752,448241,0.020602340417708486,436407,0.020058418517429035
RAW_BRANCH_CELLS,d_ff,1000.0,21756800,385537,0.01772029894102074,209071,0.009609455434622738,176466,0.008110843506398
RAW_BRANCH_CELLS,d_ff,3000.0,21756800,161571,0.007426229960288278,81892,0.0037639726430357405,79679,0.003662257317252537
RAW_BRANCH_CELLS,d_ff,10000.0,21756800,60976,0.0028026180320635387,29236,0.0013437637887924695,31740,0.0014588542432710692
RAW_BRANCH_CELLS,d_ff,30000.0,21756800,25225,0.001159407633475511,11955,0.0005494833799088102,13270,0.000609924253566701
RAW_BRANCH_CELLS,d_ff,100000.0,21756800,9422,0.0004330600088248272,4490,0.00020637226062656273,4932,0.00022668774819826446
RAW_BRANCH_CELLS,d_ff,300000.0,21756800,3917,0.00018003566700985438,1880,8.640976614207972e-05,2037,9.362590086777468e-05
RAW_BRANCH_CELLS,d_ff,1000000.0,21756800,1488,6.83924106486248e-05,717,3.295521400205913e-05,771,3.543719664656567e-05
RAW_BRANCH_CELLS,d_ff,3000000.0,21756800,611,2.808317399617591e-05,295,1.3558979261656125e-05,316,1.4524194734519783e-05
