path,turn,raw_ra0_std,used_ra_std,raw_used_spearman,used_ra_unique_count,upper_clipped_count,upper_clipped_share,lower_clipped_count,lower_clipped_share,share_exactly_0_09,share_exactly_0_02,raw_p1,raw_p5,raw_p25,raw_p50,raw_p75,raw_p95,raw_p99,used_p1,used_p5,used_p25,used_p50,used_p75,used_p95,used_p99,gap_p50,gap_min,gap_mean,gap_p95,gap_p99,gap_max
A_EQUAL_SHARE,25,0.08853402191185032,0.0003821786956246561,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09047561224394815,0.10377264894853916,0.16536215172664614,0.2136509753280869,0.3076845343619804,0.3811816260147203,0.40149833019571773,0.0884858615769213,0.09,0.09,0.09,0.09,0.09,0.09,0.12365097532808692,0.0,0.14116407828730573,0.2911816260147203,0.31149833019571777,0.31629189580593264
B_GEOGRAPHIC_BETA2,1,0.16654744447723807,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.26403510308607114,0.30061522802067564,0.3558800177480304,0.4763263686225738,0.6046296041575865,0.7899094373870446,0.9449586473927,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.38632636862257386,0.16025706464143671,0.40406522679327944,0.6999094373870445,0.8549586473927,0.8745303327953562
B_GEOGRAPHIC_BETA2,2,0.19179858959039314,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.2750927509456983,0.315721395501244,0.377338426648761,0.5027368180630868,0.6486391206726363,0.8745554763039916,1.0677532168222579,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.4127368180630868,0.1694156384725419,0.4390935854261291,0.7845554763039917,0.9777532168222579,1.0028084100025714
B_GEOGRAPHIC_BETA2,3,0.1966332828368217,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.27592100798779867,0.31680796360865254,0.37895818166094075,0.5052530541853978,0.653994735712761,0.8884379290103936,1.0910157481177563,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.4152530541853978,0.1701749967838215,0.4435138650257135,0.7984379290103937,1.0010157481177562,1.0275399313615328
B_GEOGRAPHIC_BETA2,4,0.19788540095793197,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.2765281145375389,0.3175206615564746,0.37982659926981843,0.5064747807993382,0.6559035841787735,0.8924674529367456,1.097515846837517,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.4164747807993382,0.17074895928772202,0.4451443469190812,0.8024674529367456,1.007515846837517,1.0344507269044165
B_GEOGRAPHIC_BETA2,5,0.08170684661378873,0.00024810777976922544,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09139709139333159,0.10483722352294828,0.16360880665261385,0.20793835266330807,0.2950891198161288,0.3604103657906066,0.37828052214728,0.0890170317531716,0.09,0.09,0.09,0.09,0.09,0.09,0.11793835266330807,0.0,0.13402599938892087,0.2704103657906066,0.28828052214727995,0.2924365472359767
B_GEOGRAPHIC_BETA2,6,0.08979943140794372,0.0,,1,31,1.0,0,0.0,1.0,0.0,0.09215655019273769,0.10533996379130876,0.16308000267952333,0.21206257532813866,0.3077524101496757,0.3855267840321573,0.40533965342118883,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.12206257532813866,3.4439898018670534e-05,0.1417710881843209,0.2955267840321573,0.31533965342118886,0.32016469221668664
B_GEOGRAPHIC_BETA2,7,0.08846081992502736,0.0003822963784364773,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09051987524130764,0.10384656081621801,0.16459456993956134,0.2138620131786104,0.3074154494528123,0.3802922638098614,0.4004019059287698,0.08848539533411616,0.09,0.09,0.09,0.09,0.09,0.09,0.1238620131786104,0.0,0.14049470007362122,0.29029226380986145,0.31040190592876976,0.3151808474443668
B_GEOGRAPHIC_BETA2,8,0.08843375531725811,0.00038092575073284167,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052582959184073,0.10385233192473123,0.16597167228509102,0.213941791064652,0.30792460875616956,0.3811371928700693,0.4014344399072898,0.08849082556896067,0.09,0.09,0.09,0.09,0.09,0.09,0.123941791064652,0.0,0.14139509778861076,0.29113719287006934,0.31143443990728975,0.316226082693182
B_GEOGRAPHIC_BETA2,9,0.0884980427081842,0.0003810929814080278,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052501448925032,0.10385157521226203,0.1657949057852614,0.21394461543801674,0.307961780571862,0.3812005780339243,0.4015171711397214,0.08849016302446586,0.09,0.09,0.09,0.09,0.09,0.09,0.12394461543801674,0.0,0.14134806078912796,0.2912005780339243,0.31151717113972144,0.31631076473745534
B_GEOGRAPHIC_BETA2,10,0.08850116750427314,0.0003810545939316263,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052524145867907,0.10385183259490326,0.16578754165499965,0.21394524190243938,0.30796466375553283,0.3812063931489402,0.4015248399812037,0.0884903151102667,0.09,0.09,0.09,0.09,0.09,0.09,0.12394524190243938,0.0,0.141347037333195,0.29120639314894026,0.31152483998120367,0.3163186673176063
B_GEOGRAPHIC_BETA2,11,0.08850134497939689,0.00038105673989384645,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052522936318519,0.1038518193724727,0.16578732567386273,0.21394524825608374,0.30796483972275157,0.38120681058975764,0.40152542849394834,0.08849030660826518,0.09,0.09,0.09,0.09,0.09,0.09,0.12394524825608375,0.0,0.14134702280107345,0.2912068105897576,0.3115254284939484,0.31631928073436233
B_GEOGRAPHIC_BETA2,12,0.08850135653769539,0.00038105658268887676,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052523026619155,0.10385182037213418,0.16578730820221804,0.21394525041040857,0.30796485681549945,0.3812068467453834,0.40152548018932865,0.08849030723108922,0.09,0.09,0.09,0.09,0.09,0.09,0.12394525041040858,0.0,0.14134702636081756,0.29120684674538344,0.3115254801893287,0.31631933497273357
B_GEOGRAPHIC_BETA2,13,0.08850135740210865,0.0003810565988715236,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052523017292147,0.10385182026839282,0.16578730874772968,0.21394525032051806,0.307964857316967,0.3812068492772173,0.40152548410555433,0.08849030716697585,0.09,0.09,0.09,0.09,0.09,0.09,0.12394525032051806,0.0,0.14134702658934734,0.2912068492772173,0.3115254841055543,0.3163193391359981
B_GEOGRAPHIC_BETA2,14,0.08850135745947528,0.00038105659778939053,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052523017915176,0.10385182027532205,0.1657873086010142,0.21394525032926628,0.3079648574617946,0.3812068494991129,0.4015254844502981,0.0884903071712631,0.09,0.09,0.09,0.09,0.09,0.09,0.12394525032926629,0.0,0.14134702662886472,0.2912068494991129,0.3115254844502981,0.31631933950421964
B_GEOGRAPHIC_BETA2,15,0.08850135746512028,0.00038105659790140493,0.3061862178478973,2,30,0.967741935483871,0,0.0,0.967741935483871,0.0,0.09052523017849815,0.10385182027458695,0.16578730861818963,0.21394525032826942,0.3079648574563266,0.3812068495143973,0.40152548447630004,0.08849030717081932,0.09,0.09,0.09,0.09,0.09,0.09,0.12394525032826942,0.0,0.14134702663019694,0.29120684951439735,0.3115254844763,0.316319339532406
