classification,path,province_index,province,difference_min,difference_p50,difference_p95,difference_max
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,14,山东,0.11617346390607926,0.12056307787222648,0.27897255396186277,0.27988953096681446
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,15,河南,0.10151915387331033,0.104881515176162,0.251394169612071,0.25218596277311
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,16,湖北,0.18038477682642517,0.19008689392187278,0.4718705809537426,0.47385710789768554
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,17,湖南,0.1639374984579631,0.17200416237756935,0.41679845996177295,0.4183521256253398
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,18,广东,0.25639514107210837,0.27552975432806365,0.4951183539118687,0.4969296199307046
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,19,广西,0.09685770694824812,0.10150823484841068,0.31202882859816355,0.31307132612393473
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,20,海南,0.1278802116503221,0.13230206041905818,0.6488502442551376,0.6525999610056408
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,21,重庆,0.19022419891758968,0.2009599845059092,0.6118134648164133,0.6153772982276046
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,22,四川,0.2109722637003239,0.22398261403696934,0.4732115102008559,0.4750355446875064
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,23,贵州,0.16645561010927884,0.1743116542846041,0.5137961540082555,0.5162178314819783
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,24,云南,0.1063061204488407,0.10932962616253042,0.3377684412524183,0.338952454497246
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,25,西藏,0.06768719420074078,0.06828090166759215,0.6038099004493696,0.6074376903253914
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,26,陕西,0.12051270962864326,0.12593441810467482,0.39662739193334595,0.39823119185034583
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,27,甘肃,0.11800197584909439,0.12365097532808692,0.4498179399254908,0.45207452450944496
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,28,青海,0.022580696800508213,0.02377419596457997,0.29939414089774896,0.3004985034104488
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,29,宁夏,0.037177053043870395,0.037414495482476745,0.34897675562465347,0.350287624817831
STATIC_NO_FEEDBACK_COUNTERFACTUAL,A_EQUAL_SHARE,30,新疆,0.07728970168844831,0.07993680882071938,0.3403436667727674,0.3416912208611599
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,0,北京,0.2692218059739495,0.2906991455785493,0.9373000857852454,0.9478112384065381
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,1,天津,0.06644379632868715,0.06878601140915745,0.34608041660318883,0.34781894055398566
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,2,河北,0.09359787835960635,0.09646272979353399,0.26170298675642034,0.2626798678765202
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,3,山西,0.10240846421383382,0.10605211437295485,0.3681023974458058,0.36970912681172763
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,4,内蒙古,0.047944466054253856,0.04947715894645634,0.2650788077922846,0.26629405056612077
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,5,辽宁,0.07919164307424294,0.08219957156847399,0.2879982240530489,0.28918421627310664
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,6,吉林,0.02508008174247664,0.025207346602548503,0.20642366138607382,0.20740437921350824
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,7,黑龙江,0.04831277967215315,0.050354228688282335,0.2428401488773643,0.243914194088867
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,8,上海,0.26023312425245926,0.28011313396976667,0.8672858231927919,0.8758158297220469
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,9,江苏,0.20780669874033952,0.2208430621449694,0.4742128183778079,0.4763426817355297
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,10,浙江,0.21639697358578053,0.23027631414024322,0.5389143188136936,0.5416402777696725
STATIC_NO_FEEDBACK_COUNTERFACTUAL,B_GEOGRAPHIC_BETA2,11,安徽,0.2339551201453221,0.24981084932218145,0.5831503779829457,0.5862578419442215
