province,common_entries,household_entries,firm_returns,initialized_ra,initialized_wjt,initialized_rah,initialized_w,ra0_min,ra0_max,wt0_min,wt0_max,ra_min,ra_max,wjt_min,wjt_max,mt_min,mt_max,ra0_below_count,ra0_above_count,wt0_below_count,wt0_above_count,ra_exact_lower_count,ra_exact_upper_count,wjt_exact_lower_count,wjt_exact_upper_count,ra_near_lower_count,ra_near_upper_count,wjt_near_lower_count,wjt_near_upper_count,rah_min,rah_max,w_min,w_max
广西,24,23,23,0.09,0.6,0.09,20.0,-0.02476347214711337,0.30683912456784695,0.0011584541720663854,1.5666408726465704,0.02,0.09,0.8,1.3,0.9451612570712196,1.1281237282467522,4,19,4,19,4,19,4,19,4,19,4,19,0.019330393185101852,0.09,10.359404256199507,20.0
海南,24,23,23,0.09,0.6,0.09,20.0,-0.024788794180670475,0.41514566269394176,0.00019319396972131386,0.43428848004538045,0.02,0.09,0.8,0.8,0.9437851185109414,1.1281745406959782,4,19,23,0,4,19,23,0,4,19,23,0,0.019485371754230936,0.09,9.748176585101403,20.0
重庆,24,23,23,0.09,0.6,0.09,20.0,-0.024721135635516374,0.4424602122535769,0.0010076261040834172,1.6517596363235993,0.02,0.09,0.8,1.3,0.9450609855562487,1.1281591061876366,4,19,4,19,4,19,4,19,4,19,4,19,0.019084874864253837,0.09,11.081658280880884,20.0
四川,24,23,23,0.09,0.6,0.09,20.0,-0.02474836630799992,0.5411612638692754,0.001626713068942857,3.626634823302685,0.02,0.09,0.8,1.3,0.9452367245989285,1.128190092766993,4,19,4,19,4,19,4,19,4,19,4,19,0.019801685822735875,0.09,10.886885295786643,20.0
贵州,24,23,23,0.09,0.6,0.09,20.0,-0.024741867317272046,0.39296715315756897,0.0007749293868300923,1.2735429348708907,0.02,0.09,0.8,1.2735429348708907,0.9449671086897085,1.1281513054473615,4,19,4,0,4,19,4,0,4,19,4,0,0.019592830090328927,0.09,10.770423099610541,20.0
云南,24,23,23,0.09,0.6,0.09,20.0,-0.02473120843060977,0.321364666661478,0.0013533956257698243,1.6836027475759214,0.02,0.09,0.8,1.3,0.9451729220887144,1.1281147950511845,4,19,4,19,4,19,4,19,4,19,4,19,0.019455802482018072,0.09,10.242083101594515,20.0
西藏,24,23,23,0.09,0.6,0.09,20.0,-0.024536399083064778,0.19427699018006364,0.0002666084185943541,0.12844867907471633,0.02,0.09,0.8,0.8,0.942716995497488,1.1278162896922672,4,13,23,0,4,13,23,0,4,13,23,0,0.014729461722625348,0.09,8.990881851119648,20.0
陕西,24,23,23,0.09,0.6,0.09,20.0,-0.02474928534503458,0.3989207155168434,0.00116329422599979,1.927228180270651,0.02,0.09,0.8,1.3,0.9451526273274206,1.128155912908833,4,19,4,19,4,19,4,19,4,19,4,19,0.019058940853329893,0.09,11.33968077302207,20.0
甘肃,24,23,23,0.09,0.6,0.09,20.0,-0.024751995566039464,0.3747442611512034,0.0004148617415903203,0.7219549259173499,0.02,0.09,0.8,0.8,0.9445583077933861,1.1281483422700094,4,19,23,0,4,19,23,0,4,19,23,0,0.019886661499636943,0.09,10.724783017662517,20.0
青海,24,23,23,0.09,0.6,0.09,20.0,-0.024726021946487417,0.16318533305826477,0.00033087782906786914,0.23235676052784293,0.02,0.09,0.8,0.8,0.9441944340200941,1.1279450484020876,4,11,23,0,4,11,23,0,4,11,23,0,0.01777996111430564,0.09,9.896417481435366,20.0
宁夏,24,23,23,0.09,0.6,0.09,20.0,-0.024694440731642175,0.2007865551704783,0.0003855311428301342,0.2928106347875755,0.02,0.09,0.8,0.8,0.944278866948294,1.127976937071493,4,15,23,0,4,15,23,0,4,15,23,0,0.017727315871499987,0.09,10.835901408918625,20.0
新疆,24,23,23,0.09,0.6,0.09,20.0,-0.02472993562696526,0.28314062274699214,0.0009420071771189552,1.0880834789125446,0.02,0.09,0.8,1.0880834789125446,0.9450171911295079,1.1280885838541344,4,19,4,0,4,19,4,0,4,19,4,0,0.014424565870159915,0.09,8.540112075028512,20.0
