step,province,identity,captured,derived,absolute_error,pass_128eps
1,黑龙江,rk_decomposition,0.000220839922809966,0.000220839922809966,0.0,True
1,黑龙江,mt_decomposition,0.9657672250581468,0.9657672250581467,1.1102230246251565e-16,True
1,黑龙江,tax_clipping,-3952502.8016923876,-3952502.8016923876,0.0,True
1,黑龙江,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,黑龙江,capital_addition,44322405.72187826,44322405.72187826,0.0,True
1,上海,ra0_decomposition,-0.02443452899837948,-0.02443452899837948,0.0,True
1,上海,rk_decomposition,0.0005574613145076762,0.0005574613145076762,0.0,True
1,上海,mt_decomposition,0.9657016194406154,0.9657016194406155,1.1102230246251565e-16,True
1,上海,tax_clipping,-4387645.229725858,-4387645.229725858,0.0,True
1,上海,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,上海,capital_addition,54117341.58537002,54117341.58537002,0.0,True
1,江苏,ra0_decomposition,-0.024945493220979966,-0.024945493220979966,0.0,True
1,江苏,rk_decomposition,5.372492754562199e-05,5.372492754562199e-05,0.0,True
1,江苏,mt_decomposition,0.9655205187111328,0.9655205187111328,0.0,True
1,江苏,tax_clipping,-8730744.633653164,-8730744.633653164,0.0,True
1,江苏,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,江苏,capital_addition,149465416.10641217,149465416.10641217,0.0,True
1,浙江,ra0_decomposition,-0.02485224835217001,-0.02485224835217001,0.0,True
1,浙江,rk_decomposition,0.00014564034163728345,0.00014564034163728345,0.0,True
1,浙江,mt_decomposition,0.9655755629110403,0.9655755629110402,1.1102230246251565e-16,True
1,浙江,tax_clipping,-6423656.114084576,-6423656.114084576,0.0,True
1,浙江,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
1,浙江,capital_addition,98236726.70582531,98236726.70582531,0.0,True
1,安徽,ra0_decomposition,-0.024756723746024084,-0.024756723746024084,0.0,True
1,安徽,rk_decomposition,0.0002398326892069169,0.0002398326892069169,0.0,True
1,安徽,mt_decomposition,0.9657113794538024,0.9657113794538025,1.1102230246251565e-16,True
1,安徽,tax_clipping,-4505327.271790476,-4505327.271790476,0.0,True
1,安徽,current_household_Lt,0.647623598114104,0.647623598114104,0.0,True
