outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,11,安徽,12,Zt,0.000641551386937363,0.000641551386937363,0.0,0.0,True
1,11,安徽,12,GovInv,54313245.2543264,54313245.2543264,0.0,0.0,True
1,12,福建,13,rah,0.09,0.09,0.0,0.0,True
1,12,福建,13,rb,0.02,0.02,0.0,0.0,True
1,12,福建,13,tau,0.05,0.05,0.0,0.0,True
1,12,福建,13,w,20.0,20.0,0.0,0.0,True
1,12,福建,13,Tt,0.1,0.1,0.0,0.0,True
1,12,福建,13,rb_gap,0.07,0.07,0.0,0.0,True
1,12,福建,13,Yt,35804040.0,35804040.0,0.0,0.0,True
1,12,福建,13,Lt,279100.0,279100.0,0.0,0.0,True
1,12,福建,13,Kt,75562152.8770214,75562152.8770214,0.0,0.0,True
1,12,福建,13,Zt,0.0007909691648437431,0.0007909691648437431,0.0,0.0,True
1,12,福建,13,GovInv,75562152.8770214,75562152.8770214,0.0,0.0,True
1,13,江西,14,rah,0.09,0.09,0.0,0.0,True
1,13,江西,14,rb,0.02,0.02,0.0,0.0,True
1,13,江西,14,tau,0.05,0.05,0.0,0.0,True
1,13,江西,14,w,20.0,20.0,0.0,0.0,True
1,13,江西,14,Tt,0.1,0.1,0.0,0.0,True
1,13,江西,14,rb_gap,0.07,0.07,0.0,0.0,True
1,13,江西,14,Yt,22717000.0,22717000.0,0.0,0.0,True
1,13,江西,14,Lt,229500.0,229500.0,0.0,0.0,True
1,13,江西,14,Kt,38642602.7655129,38642602.7655129,0.0,0.0,True
1,13,江西,14,Zt,0.0005972473033647159,0.0005972473033647159,0.0,0.0,True
1,13,江西,14,GovInv,38642602.7655129,38642602.7655129,0.0,0.0,True
1,14,山东,15,rah,0.09,0.09,0.0,0.0,True
1,14,山东,15,rb,0.02,0.02,0.0,0.0,True
1,14,山东,15,tau,0.05,0.05,0.0,0.0,True
1,14,山东,15,w,20.0,20.0,0.0,0.0,True
1,14,山东,15,Tt,0.1,0.1,0.0,0.0,True
1,14,山东,15,rb_gap,0.07,0.07,0.0,0.0,True
1,14,山东,15,Yt,66648869.99999999,66648869.99999999,0.0,0.0,True
1,14,山东,15,Lt,562100.0,562100.0,0.0,0.0,True
