call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
116,True,True,11,11,1.2593306397690185e-08,1.2593306397690185e-08,True,True
117,True,True,11,11,7.761670861583525e-09,7.761670861583525e-09,True,True
118,True,True,11,11,7.192878737072306e-09,7.192878737072306e-09,True,True
119,True,True,10,10,6.007468655866433e-08,6.007468655866433e-08,True,True
120,True,True,11,11,1.378771052884531e-08,1.378771052884531e-08,True,True
121,True,True,11,11,7.684167080412863e-09,7.684167080412863e-09,True,True
122,True,True,11,11,3.095237399719508e-09,3.095237399719508e-09,True,True
123,True,True,11,11,7.520008171724157e-09,7.520008171724157e-09,True,True
124,True,True,10,10,4.672095332836079e-08,4.672095332836079e-08,True,True
125,True,True,11,11,1.3160321721272794e-08,1.3160321721272794e-08,True,True
126,True,True,11,11,1.2042115749011373e-08,1.2042115749011373e-08,True,True
127,True,True,11,11,1.2599913556954334e-08,1.2599913556954334e-08,True,True
128,True,True,11,11,1.337396948741798e-08,1.337396948741798e-08,True,True
129,True,True,11,11,7.577110050505098e-09,7.577110050505098e-09,True,True
130,True,True,11,11,4.905690964562837e-09,4.905690964562837e-09,True,True
131,True,True,11,11,2.993235437287467e-09,2.993235437287467e-09,True,True
132,True,True,10,10,7.208323982155207e-08,7.208323982155207e-08,True,True
133,True,True,11,11,1.2416907502199592e-08,1.2416907502199592e-08,True,True
134,True,True,11,11,1.2069268251480025e-08,1.2069268251480025e-08,True,True
135,True,True,11,11,1.2236371471630036e-08,1.2236371471630036e-08,True,True
136,True,True,11,11,1.3782574193044184e-08,1.3782574193044184e-08,True,True
137,True,True,11,11,7.818801162073896e-09,7.818801162073896e-09,True,True
138,True,True,11,11,1.2808225147153962e-08,1.2808225147153962e-08,True,True
139,True,True,11,11,1.3547453381335117e-08,1.3547453381335117e-08,True,True
140,True,True,11,11,1.4869617981361216e-08,1.4869617981361216e-08,True,True
141,True,True,11,11,1.4314430529793754e-08,1.4314430529793754e-08,True,True
142,True,True,11,11,1.3572638568604134e-08,1.3572638568604134e-08,True,True
143,True,True,11,11,7.914478850068463e-09,7.914478850068463e-09,True,True
144,True,True,11,11,7.2915322668620774e-09,7.2915322668620774e-09,True,True
145,True,True,11,11,2.6022166643713263e-09,2.6022166643713263e-09,True,True
146,True,True,11,11,1.2520465109133738e-08,1.2520465109133738e-08,True,True
147,True,True,11,11,1.2594778109331628e-08,1.2594778109331628e-08,True,True
148,True,True,11,11,7.76171305005846e-09,7.76171305005846e-09,True,True
149,True,True,11,11,7.196514939522558e-09,7.196514939522558e-09,True,True
150,True,True,10,10,6.00181175869352e-08,6.00181175869352e-08,True,True
