turn,province_index,province_name,hjb_converged,hjb_nonconverged_but_continued,hjb_iterations,hjb_convergence_statistic,hjb_acceptance_classification,downstream_kfe_attempted,downstream_kfe_returned,reconverged_after_prior_nonconvergence
6,25,西藏,True,False,16,2.7247497591531555e-09,HJB_CONVERGED,True,True,False
6,26,陕西,True,False,16,1.2736292021031659e-09,HJB_CONVERGED,True,True,False
6,27,甘肃,True,False,13,2.1825961926680293e-08,HJB_CONVERGED,True,True,True
6,28,青海,True,False,27,3.0985392029947434e-10,HJB_CONVERGED,True,True,False
6,29,宁夏,True,False,25,7.466373297404516e-09,HJB_CONVERGED,True,True,True
6,30,新疆,True,False,16,2.6816491249803676e-09,HJB_CONVERGED,True,True,True
7,0,北京,True,False,25,9.253131594277875e-08,HJB_CONVERGED,True,True,True
7,1,天津,True,False,22,2.3601921750326937e-08,HJB_CONVERGED,True,True,False
7,2,河北,True,False,13,1.2575338548259651e-08,HJB_CONVERGED,True,True,True
7,3,山西,True,False,13,3.348965993410502e-08,HJB_CONVERGED,True,True,True
7,4,内蒙古,True,False,25,8.148104413407964e-11,HJB_CONVERGED,True,True,False
7,5,辽宁,True,False,15,7.641838273286794e-09,HJB_CONVERGED,True,True,True
7,6,吉林,True,False,25,4.4001397192516833e-08,HJB_CONVERGED,True,True,False
7,7,黑龙江,True,False,20,1.6341956232679422e-08,HJB_CONVERGED,True,True,False
7,8,上海,True,False,25,8.49650869660934e-08,HJB_CONVERGED,True,True,False
7,9,江苏,True,False,15,7.805867729970828e-09,HJB_CONVERGED,True,True,False
7,10,浙江,True,False,16,4.761234317918195e-08,HJB_CONVERGED,True,True,False
7,11,安徽,True,False,13,5.435163741296378e-08,HJB_CONVERGED,True,True,True
7,12,福建,True,False,17,2.3636907986457345e-08,HJB_CONVERGED,True,True,False
7,13,江西,True,False,14,1.8474288765446545e-10,HJB_CONVERGED,True,True,True
7,14,山东,True,False,39,4.084527871484056e-08,HJB_CONVERGED,True,True,True
7,15,河南,True,False,13,1.0102032099723601e-08,HJB_CONVERGED,True,True,True
7,16,湖北,True,False,13,5.653273404959691e-09,HJB_CONVERGED,True,True,True
7,17,湖南,True,False,13,2.1865166122125856e-08,HJB_CONVERGED,True,True,True
7,18,广东,True,False,13,8.256917816140685e-09,HJB_CONVERGED,True,True,True
7,19,广西,True,False,13,1.8954964264850105e-08,HJB_CONVERGED,True,True,True
7,20,海南,True,False,13,1.283394146511796e-08,HJB_CONVERGED,True,True,False
7,21,重庆,True,False,13,7.682580349666068e-09,HJB_CONVERGED,True,True,True
7,22,四川,True,False,14,1.3603536075379452e-09,HJB_CONVERGED,True,True,True
7,23,贵州,True,False,14,2.4507036400223114e-09,HJB_CONVERGED,True,True,True
7,24,云南,True,False,14,3.2642293312790116e-09,HJB_CONVERGED,True,True,False
7,25,西藏,True,False,16,2.700363044283449e-09,HJB_CONVERGED,True,True,False
7,26,陕西,True,False,21,4.770721595548366e-10,HJB_CONVERGED,True,True,False
7,27,甘肃,True,False,14,2.297065648804164e-09,HJB_CONVERGED,True,True,True
7,28,青海,True,False,25,1.12303766286459e-09,HJB_CONVERGED,True,True,False
7,29,宁夏,True,False,25,5.827266269520237e-08,HJB_CONVERGED,True,True,True
7,30,新疆,True,False,16,2.659289233264417e-09,HJB_CONVERGED,True,True,True
8,0,北京,True,False,26,8.56617119460168e-08,HJB_CONVERGED,True,True,True
8,1,天津,True,False,22,4.12554630457862e-08,HJB_CONVERGED,True,True,False
8,2,河北,True,False,13,1.2965046369828315e-08,HJB_CONVERGED,True,True,True
8,3,山西,True,False,13,3.195007991507737e-08,HJB_CONVERGED,True,True,True
8,4,内蒙古,True,False,25,1.0972778241580272e-10,HJB_CONVERGED,True,True,False
8,5,辽宁,True,False,15,7.658929490617084e-09,HJB_CONVERGED,True,True,True
8,6,吉林,True,False,25,5.0817188235185995e-08,HJB_CONVERGED,True,True,False
8,7,黑龙江,False,True,100,0.6293675726381389,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
8,8,上海,True,False,28,6.936851093541918e-11,HJB_CONVERGED,True,True,False
8,9,江苏,True,False,15,1.2096581514242644e-08,HJB_CONVERGED,True,True,False
8,10,浙江,True,False,15,5.1189268601703475e-08,HJB_CONVERGED,True,True,False
8,11,安徽,True,False,13,5.718110607233484e-08,HJB_CONVERGED,True,True,True
8,12,福建,True,False,17,2.2318688674971554e-08,HJB_CONVERGED,True,True,False
8,13,江西,True,False,14,1.844737695932963e-10,HJB_CONVERGED,True,True,True
8,14,山东,False,True,100,0.08109463792040295,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
8,15,河南,True,False,13,9.670293454888679e-09,HJB_CONVERGED,True,True,True
8,16,湖北,True,False,13,5.391703084001165e-09,HJB_CONVERGED,True,True,True
8,17,湖南,True,False,13,2.265039977800143e-08,HJB_CONVERGED,True,True,True
8,18,广东,True,False,13,8.326408451608813e-09,HJB_CONVERGED,True,True,True
8,19,广西,True,False,13,1.8937286405673603e-08,HJB_CONVERGED,True,True,True
8,20,海南,True,False,13,1.2770658752714326e-08,HJB_CONVERGED,True,True,False
8,21,重庆,True,False,13,7.692567915995596e-09,HJB_CONVERGED,True,True,True
8,22,四川,True,False,14,1.3861525260949747e-09,HJB_CONVERGED,True,True,True
8,23,贵州,True,False,14,2.4671975573653526e-09,HJB_CONVERGED,True,True,True
8,24,云南,True,False,14,3.3318339198729063e-09,HJB_CONVERGED,True,True,False
8,25,西藏,True,False,16,2.7007880376572757e-09,HJB_CONVERGED,True,True,False
8,26,陕西,True,False,20,7.671226098793227e-09,HJB_CONVERGED,True,True,False
8,27,甘肃,True,False,14,2.2897044260616894e-09,HJB_CONVERGED,True,True,True
8,28,青海,True,False,24,1.786792935831727e-09,HJB_CONVERGED,True,True,False
8,29,宁夏,True,False,25,5.056245022672101e-08,HJB_CONVERGED,True,True,True
8,30,新疆,True,False,16,2.6587549939449673e-09,HJB_CONVERGED,True,True,True
9,0,北京,True,False,26,7.397397583375209e-08,HJB_CONVERGED,True,True,True
9,1,天津,True,False,22,1.867502952279665e-08,HJB_CONVERGED,True,True,False
9,2,河北,True,False,13,1.3246562513558047e-08,HJB_CONVERGED,True,True,True
9,3,山西,True,False,13,3.1720134963109103e-08,HJB_CONVERGED,True,True,True
9,4,内蒙古,True,False,25,9.157075098187306e-11,HJB_CONVERGED,True,True,False
9,5,辽宁,True,False,15,7.601044682559177e-09,HJB_CONVERGED,True,True,True
9,6,吉林,True,False,28,2.5947728410358195e-09,HJB_CONVERGED,True,True,False
9,7,黑龙江,True,False,67,6.457545165261536e-09,HJB_CONVERGED,True,True,True
9,8,上海,True,False,25,9.693154545686866e-08,HJB_CONVERGED,True,True,False
9,9,江苏,True,False,15,1.9138987727984613e-08,HJB_CONVERGED,True,True,False
9,10,浙江,True,False,15,3.302392248549779e-08,HJB_CONVERGED,True,True,False
9,11,安徽,True,False,13,5.931594548869157e-08,HJB_CONVERGED,True,True,True
9,12,福建,True,False,17,2.1187437138081577e-08,HJB_CONVERGED,True,True,False
9,13,江西,True,False,14,1.8627988040975652e-10,HJB_CONVERGED,True,True,True
9,14,山东,True,False,32,3.5545921761581667e-10,HJB_CONVERGED,True,True,True
9,15,河南,True,False,13,9.328072980707702e-09,HJB_CONVERGED,True,True,True
9,16,湖北,True,False,13,5.2072617329201876e-09,HJB_CONVERGED,True,True,True
9,17,湖南,True,False,13,2.311196700688356e-08,HJB_CONVERGED,True,True,True
9,18,广东,True,False,13,8.376635829421275e-09,HJB_CONVERGED,True,True,True
9,19,广西,True,False,13,1.8944072532889322e-08,HJB_CONVERGED,True,True,True
9,20,海南,True,False,13,1.2714334918229042e-08,HJB_CONVERGED,True,True,False
9,21,重庆,True,False,13,7.671128621211665e-09,HJB_CONVERGED,True,True,True
9,22,四川,True,False,14,1.402388427607093e-09,HJB_CONVERGED,True,True,True
9,23,贵州,True,False,14,2.468274473699239e-09,HJB_CONVERGED,True,True,True
9,24,云南,True,False,14,3.2258773430271503e-09,HJB_CONVERGED,True,True,False
9,25,西藏,True,False,16,2.700704548885824e-09,HJB_CONVERGED,True,True,False
9,26,陕西,True,False,22,7.149805192341319e-10,HJB_CONVERGED,True,True,False
9,27,甘肃,True,False,14,2.2763289031502154e-09,HJB_CONVERGED,True,True,True
9,28,青海,True,False,15,2.8337727719929262e-09,HJB_CONVERGED,True,True,False
9,29,宁夏,False,True,100,0.05203264993636458,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,True,True,False
9,30,新疆,True,False,16,2.658276265776749e-09,HJB_CONVERGED,True,True,True
10,0,北京,True,False,25,6.38161514743274e-08,HJB_CONVERGED,True,True,True
10,1,天津,True,False,23,1.1115790510274337e-08,HJB_CONVERGED,True,True,False
10,2,河北,True,False,13,1.4427513850279183e-08,HJB_CONVERGED,True,True,True
10,3,山西,True,False,13,3.4360480682948946e-08,HJB_CONVERGED,True,True,True
10,4,内蒙古,True,False,25,5.7836846423242605e-11,HJB_CONVERGED,True,True,False
10,5,辽宁,True,False,15,7.602645180071477e-09,HJB_CONVERGED,True,True,True
10,6,吉林,True,False,25,3.270266724086923e-09,HJB_CONVERGED,True,True,False
10,7,黑龙江,True,False,20,1.6021237225771756e-08,HJB_CONVERGED,True,True,True
10,8,上海,True,False,26,8.475336255031607e-08,HJB_CONVERGED,True,True,False
10,9,江苏,True,False,15,2.3544459493152203e-08,HJB_CONVERGED,True,True,False
