turn,province_index,province_name,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,firm_K_total_over_Ktarget,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,Ltarget_proxy_NU,firm_Lt_supply,firm_Lt_over_population_proxy,net_destination_labor_gain_loss_NU,top_origin_index,top_origin_province,top_origin_contribution,top_origin_share_of_destination_supply,A,B,L,C,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,household_composite_wage,Y,Zt,nk_gap,yt_gap,GDP_level_gap,govinv_action,kfe_diagnostic_status,hjb_converged,hjb_iterations,hjb_statistic,hjb_acceptance_classification,downstream_kfe_attempted,downstream_kfe_returned,continuation_status
7,8,上海,66125294.30800852,207251.6259136883,80011606.11269031,80011606.11269031,80218857.73860401,1.2131342261396725,0.0031342261396723613,1.21,1.21,247500.0,5888391.046014165,23.791478973794604,5640891.046014165,18,广东,533075.3113636657,0.09052987602182143,7.319305048737758,4.67483115905393,0.686726573940705,9.150779401348917,0.34003485139060335,0.09,0.078638460820614,1.7646075166181827,1.3,14.965196610858388,38544978.23878302,0.9522831966074338,0.10247528442883347,0.01715208351381392,0.07034300531445292,NONE,DIAGNOSTIC_ONLY,True,25,8.49650869660934e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,9,江苏,203535217.25929242,191794.75333636254,246277612.88374388,246277612.88374388,246469407.63708025,1.210942317285033,0.0009423172850329229,1.2100000000000002,1.2100000000000002,844600.0,5773372.688540193,6.835629515202691,4928772.688540193,18,广东,518590.8685912816,0.08982459587628114,7.310503334078137,4.677237306486944,0.6807875705833856,9.421145359308236,0.2786051158456559,0.09,0.08042689327609032,4.5991383880115615,1.3,15.578171393126116,99768815.83694714,1.0819969638759692,0.1074899518069461,0.015241349250241787,0.07039357130692281,NONE,DIAGNOSTIC_ONLY,True,15,7.805867729970828e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,10,浙江,124249656.20818298,203251.35568215244,150342084.0119014,150342084.0119014,150545335.36758357,1.211635830326497,0.0016358303264968428,1.21,1.21,627300.0,5826710.212286397,9.288554459248202,5199410.212286397,18,广东,528668.7320560918,0.09073194183251522,7.313626270143617,4.672827758537789,0.6809798092121723,9.203904123100024,0.28468697517044206,0.09,0.08335152126850726,2.8392313968270098,1.3,15.270941091009583,62084964.78582508,0.9664834083119189,0.10637069683514921,0.015581068509730178,0.07037875388472759,NONE,DIAGNOSTIC_ONLY,True,16,4.761234317918195e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,11,安徽,70182433.35888097,213634.81421632346,84920744.36424598,84920744.36424598,85134379.17846231,1.213043992691503,0.0030439926915029067,1.2100000000000002,1.2100000000000002,607600.0,5943114.253808675,9.781294031943178,5335514.253808675,18,广东,537152.9930862668,0.09038241065987071,7.312439812322665,4.670068047818326,0.6759628464806218,9.194813825477098,0.2969490017572114,0.09,0.08895753765628499,1.6364846697513915,1.3,15.47389616747771,36402408.155466154,0.8586425017266467,0.10563300061220726,0.01552973141063052,0.07031593269999181,NONE,DIAGNOSTIC_ONLY,True,13,5.435163741296378e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,12,福建,87795538.11850408,206181.50721696924,106232601.12338994,106232601.12338994,106438782.63060692,1.212348428082287,0.002348428082286721,1.2100000000000002,1.2100000000000002,410400.0,5866087.403690687,14.293585291643975,5455687.403690687,18,广东,542876.4497408668,0.09254489617718831,7.319713251670599,4.670487846405809,0.6852880992440681,8.988345323094949,0.26589220716295003,0.09,0.08227175724556457,1.8729122083907386,1.3,14.799636963561602,41410194.29984506,0.8311549830556846,0.10461081773148395,0.01624913587240806,0.07036828922412397,NONE,DIAGNOSTIC_ONLY,True,17,2.3636907986457345e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,13,江西,51050047.92908307,214328.81154459712,61770557.99419053,61770557.99419053,61984886.805735126,1.2141984056869515,0.004198405686951267,1.2100000000000002,1.2100000000000002,451300.0,5819991.469773865,12.896059095443974,5368691.469773865,18,广东,532813.8633581514,0.0915489079537867,7.315720652277946,4.667848928589523,0.6779713879077505,9.046520608740158,0.27042047405630243,0.09,0.08911940181661968,1.1164467647657592,1.1164467647657592,15.183735320429795,24429210.990370136,0.7323123716242852,0.10538559112238532,0.001487149966459489,0.0753950208161529,NONE,DIAGNOSTIC_ONLY,True,14,1.8474288765446545e-10,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,14,山东,210016973.07581103,193755.71594553068,254120537.42173138,254120537.42173138,254314293.13767692,1.2109225717003151,0.0009225717003148577,1.2100000000000002,1.2100000000000002,1007700.0,5820668.079687804,5.7761914058626616,4812968.079687804,18,广东,517217.4856903386,0.08885878366699101,7.310726899444255,4.674785427559613,0.6791811841224346,9.373698517920158,0.18090895733680584,0.09,0.08264739749146027,3.1923252920792433,1.3,15.57937656063463,71341315.47723614,0.7543980292627841,0.10816445583055523,0.014850158692978566,0.07040499508973364,NONE,DIAGNOSTIC_ONLY,True,39,4.084527871484056e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,15,河南,168320556.01470312,201642.04343461385,203667872.7777908,203667872.7777908,203869514.82122543,1.2111979644566826,0.0011979644566822844,1.2100000000000002,1.2100000000000002,986400.0,5883937.388394179,5.965062234787286,4897537.388394179,18,广东,526763.7977707664,0.0895257313257252,7.308686001753476,4.6743459528969,0.676609659538263,9.382983617910288,0.16684176188834912,0.09,0.08521699930177669,2.358638403817445,1.3,15.70353119390694,53451369.87769752,0.6635279542513745,0.10810167961483819,0.014767067405117129,0.0703996499051287,NONE,DIAGNOSTIC_ONLY,True,13,1.0102032099723601e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,16,湖北,101805153.6623069,207019.06132892385,123184235.93139137,123184235.93139137,123391254.99272029,1.2120334831183068,0.002033483118306732,1.2100000000000002,1.2100000000000002,591700.0,5913675.498803354,9.994381441276582,5321975.498803354,18,广东,537829.0825356205,0.09094666804839927,7.309674914227191,4.67381008807738,0.6773064526268143,9.34035482295513,0.2464346691349528,0.09,0.08512090095863711,2.0096765893412067,1.3,15.614596990028112,44979163.88989484,0.807779688666971,0.10599018856445142,0.015623649110611315,0.07037180262469289,NONE,DIAGNOSTIC_ONLY,True,13,5.653273404959691e-09,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
7,17,湖南,93791807.14892803,210044.57889729293,113488086.65020293,113488086.65020293,113698131.22910023,1.2122394768293971,0.002239476829396965,1.2100000000000002,1.2100000000000002,663500.0,5921508.45820319,8.924654797593353,5258008.45820319,18,广东,544720.5677261322,0.09199016966217778,7.313206960898688,4.670392559019875,0.6779662486521494,9.1626399428417,0.22868598612543709,0.09,0.08720515977563877,1.728428481572183,1.3,15.342394618197883,38885850.15330155,0.741562643349993,0.10634515392197819,0.015383994442132787,0.07035979249213598,NONE,DIAGNOSTIC_ONLY,True,13,2.1865166122125856e-08,HJB_CONVERGED,True,True,CONTINUED_TO_HOUSEHOLD_BATCH
