turn,variable,ranking_path,rank,province_index,province,i_b,i_a,i_z,b,a,z,boundary_label,focal_value,focal_abs,matched_other_value,control_value,raw_value,raw_minus_control,raw_over_control_abs,control_liquid_label,raw_liquid_label,control_transfer_label,raw_transfer_label,control_consumption,raw_consumption,control_transfer,raw_transfer,control_adjustment_cost,raw_adjustment_cost,control_effective_return,raw_effective_return,control_mu_a,raw_mu_a,control_mu_b,raw_mu_b,control_hjb_statistic,raw_hjb_statistic
2,transfer,R,5,10,浙江,5,15,1,-0.1578947368421053,7.894736842105263,1.3,interior,-245644.32201792113,245644.32201792113,-1047.8651314772692,-1047.8651314772692,-245644.32201792113,-244596.45688644386,234.42360532754284,B,B,B,B,15.833992648344289,110.67694112435666,-1047.8651314772692,-245644.32201792113,139187.48879015853,7643234736.787126,0.08892778610168163,0.5784132174734394,-1047.1630700080455,-245639.7555977832,-138142.54058017497,-7642989197.161265,0.5400178991724138,128.87302678228772
2,transfer,R,6,24,云南,8,17,1,0.9473684210526314,8.947368421052632,1.3,interior,239592.3850047612,239592.3850047612,-0.8672105589943644,-0.8672105589943644,239592.3850047612,239593.2522153202,276279.36781881156,F,B,F,B,8.83100314520643,399.7647505858238,-0.8672105589943644,239592.3850047612,0.17077416718764257,6415822242.139234,0.08669249588435207,0.38894288006421546,-0.09154085897647746,239595.86502000387,6.558988016638146,-6416062230.998437,8.755726810250053e-08,4.48126776328847
2,transfer,R,7,13,江西,7,15,0,0.5789473684210527,7.894736842105263,0.8,interior,-187603.5207789156,187603.5207789156,-95.53498915312453,-95.53498915312453,-187603.5207789156,-187507.9857897625,1963.7153093535462,B,B,B,B,1000.0,123.14370052761193,-95.53498915312453,-187603.5207789156,1165.6318248970779,4458062354.780447,0.08892778610168163,0.6089891459241488,-94.83292768390072,-187598.71296986885,-2068.6186646777046,-4457874871.133339,0.024621887213711835,2.6542979704895533
2,transfer,R,8,15,河南,13,16,1,2.7894736842105257,8.421052631578947,1.3,interior,-171036.06451979707,171036.06451979707,-1.0091473532908979,-1.0091473532908979,-171036.06451979707,-171035.05537244378,169485.71877242395,F,B,F,B,11.121009416672788,513.787836546286,-1.0091473532908979,-171036.06451979707,0.2218471680317552,3473850678.3688498,0.08808336266030328,0.3210598649400483,-0.2673927203620282,-171033.3608577765,4.999579953653827,-3473680152.660373,0.02709385824236632,0.2273289196592514
2,transfer,R,9,16,湖北,12,11,1,2.421052631578947,5.789473684210526,1.3,interior,-129991.80461403108,129991.80461403108,0.0,0.0,-129991.80461403108,-129991.80461403108,,F,B,0,B,9.773609744455463,162.7182875030109,0.0,-129991.80461403108,0.0,2918735872.5389724,0.08993423508437084,0.525144562922916,0.520671887330568,-129988.76430340363,6.409375414399152,-2918606038.0982194,0.01453594303498651,1.2094821871145367
2,transfer,R,10,13,江西,15,15,1,3.526315789473684,7.894736842105263,1.3,interior,-126972.76765021059,126972.76765021059,-1.3209351041453012,-1.3209351041453012,-126972.76765021059,-126971.44671510645,96123.39565490399,F,B,F,B,9.657357716961265,93.50357880092052,-1.3209351041453012,-126972.76765021059,0.3531103200005555,2042143302.412318,0.08892778610168163,0.6089891459241488,-0.6188736349214989,-126967.95984116381,7.138392525346683,-2042016416.6633265,0.024621887213711835,2.6542979704895533
3,mu_b,C,1,22,四川,9,13,0,1.3157894736842102,6.842105263157895,0.8,interior,-100202397093.12012,100202397093.12012,-2071.2881141415123,-100202397093.12012,-2071.2881141415123,100202395021.832,2.0671043550152023e-08,B,B,B,B,1000.0,1000.0,-828009.9277773291,-88.80762742253597,100203224104.51999,1161.566140280556,0.08970423262177674,0.5601004640088459,-828009.314011527,-84.97536108984387,-100202397093.12012,-2071.2881141415123,0.37435260416099303,5.390036317276525e-08
3,mu_b,C,2,17,湖南,4,8,1,-0.5263157894736843,4.2105263157894735,1.3,interior,-57347547662.079765,57347547662.079765,4.835126616795339,-57347547662.079765,4.835126616795339,57347547666.914894,8.43127006107795e-11,B,F,B,B,806.0664654812982,9.486253513092047,-491391.10422200477,1.2559649863932274,57348038249.88419,0.500240409812686,0.0899962565676959,0.5064237769796677,-491390.7252903982,3.3882756263076175,-57347547662.079765,4.835126616795339,0.16962513718325423,1.0820619491267875
3,mu_b,C,3,1,天津,11,18,0,2.052631578947368,9.473684210526315,0.8,interior,-20301595887.382263,20301595887.382263,-29.598599619931367,-20301595887.382263,-29.598599619931367,20301595857.783665,1.4579444780657528e-09,B,0,B,B,1000.0,8.984943245213318,438550.2580000919,12.326787342823371,20301156338.62022,17.271812277107998,0.0844676117943156,0.40893480146339656,438551.05821957206,16.200906514581863,-20301595887.382263,-29.598599619931367,0.4674884890777189,0.06854523889254538
3,mu_b,C,4,11,安徽,12,11,1,2.421052631578947,5.789473684210526,1.3,interior,-14309459827.510033,14309459827.510033,18.80831116106364,-14309459827.510033,18.80831116106364,14309459846.318344,1.3143970064407697e-09,B,F,B,B,1000.0,3.1743303199196204,-287829.35061422567,-7.679632865727704,14309746659.527155,10.95485836016311,0.08993423508437083,0.6710271225188279,-287828.82994233834,-3.794738998513438,-14309459827.510033,18.80831116106364,0.31856908438261544,3.3846627368935884
