turn,variable,cells_per_path,control_min,raw_min,raw_minus_control_min,raw_over_control_min,control_median,raw_median,raw_minus_control_median,raw_over_control_median,control_p95,raw_p95,raw_minus_control_p95,raw_over_control_p95,control_p99,raw_p99,raw_minus_control_p99,raw_over_control_p99,control_max,raw_max,raw_minus_control_max,raw_over_control_max,control_abs_max,raw_abs_max,raw_minus_control_abs_max,raw_over_control_abs_max
3,adjustment_cost,24800,0.0,0.0,0.0,,0.12060956565064573,5.837299834942117,5.716690269291472,48.39831570117975,1148.2596785197034,7511.955158156136,6363.695479636433,6.542035132541002,68861.38853130417,992325.3225176814,923463.9339863772,14.410475067120865,100203224104.51999,1293190899968.122,1192987675863.602,12.905681543931365,100203224104.51999,1293190899968.122,1192987675863.602,12.905681543931365
3,effective_illiquid_return,24800,0.08099999999999997,0.2670801537924706,0.18608015379247062,3.297285849289761,0.08998065190509749,0.5053126797616639,0.4153320278565664,5.615792607222014,0.08999999999997352,0.9456579926367044,0.8556579926367308,10.507311029299807,0.09,1.0141984184313124,0.9241984184313125,11.268871315903471,0.09000000000000002,1.0142015858329008,0.9242015858329007,11.26890650925445,0.09000000000000002,1.0142015858329008,0.9242015858329007,11.26890650925445
3,mu_a,24800,-828009.314011527,-2736214.874617024,-1908205.5606054969,3.304570164024667,0.2548315553645095,0.10221090730288418,-0.15262064806162534,0.40109203570445706,4.7878433136040535,59.82604760344571,55.03820428984166,12.495406320724308,96.78466352848866,508.5112706372375,411.7266071087488,5.254048028875532,438551.05821957206,787489.4910928314,348938.4328732593,1.7956620474019107,828009.314011527,2736214.874617024,1908205.5606054969,3.304570164024667
3,mu_b,24800,-100202397093.12012,-1293188164448.144,-1192985767355.024,12.90576075985845,2.0243387057609805,-5.397437557258089,-7.421776263019069,-2.66627197410085,6.924758591347422,13.559993947250348,6.635235355902926,1.9581901330385352,10.668739120057918,28.66417331690472,17.9954341968468,2.6867442341911074,32.53604218176707,102.35833738921943,69.82229520745236,3.1459984228376796,100202397093.12012,1293188164448.144,1192985767355.024,12.90576075985845
4,consumption,24800,0.5404779914342979,0.27939394821679203,-0.26108404321750583,0.516938622191346,8.833170243830747,11.188883248563997,2.35571300473325,1.2666894149785604,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0
4,labor,24800,0.10439593602249654,0.09950609135253471,-0.004889844669961826,0.9531605840584819,0.7393893295195602,0.6603411338066049,-0.0790481957129553,0.8930898884295244,0.7861795749302064,0.9525105734259632,0.16633099849575683,1.2115687099992682,1.053173148480093,1.2834771928387994,0.23030404435870633,1.2186763351221725,2.3353709833555016,3.0491571336615526,0.713786150306051,1.3056414400081613,2.3353709833555016,3.0491571336615526,0.713786150306051,1.3056414400081613
4,transfer,24800,-483938.8904748765,-250318.77255679062,233620.1179180859,0.517252854613853,0.0,-0.6825046074464337,-0.6825046074464337,,3.9202756449239966,13.370953772876826,9.450678127952829,3.410717761693528,51.58051721830673,168.72054251252672,117.14002529421998,3.271013002805741,138440.82296101027,122718.06134562362,-15722.761615386655,0.8864297301973224,483938.8904748765,250318.77255679062,-233620.1179180859,0.517252854613853
4,adjustment_cost,24800,0.0,0.0,0.0,,0.13615342138976946,8.369615006507313,8.233461585117544,61.47194041159956,1135.221390177524,1329.5916317106996,194.37024153317566,1.1712179168001586,69035.7112357582,83941.82589063072,14906.114654872523,1.2159188974524775,27810924297.43302,10823027486.353868,-16987896811.079153,0.38916460922346424,27810924297.43302,10823027486.353868,-16987896811.079153,0.38916460922346424
4,effective_illiquid_return,24800,0.08099999999999997,0.265811924364481,0.18481192436448102,3.281628695857791,0.08998065190509749,0.5042077639172982,0.41422711201220064,5.603513124678021,0.08999999999997352,0.9558664374459228,0.8658664374459493,10.620738193846712,0.09,1.028250808106734,0.9382508081067341,11.425008978963712,0.09000000000000002,1.0282540193947658,0.9382540193947657,11.42504465994184,0.09000000000000002,1.0282540193947658,0.9382540193947657,11.42504465994184
4,mu_a,24800,-483938.1487202436,-250315.5173880078,233622.6313322358,0.5172469210165759,0.23684196191023799,0.09791784108449908,-0.1389241208257389,0.4134311348155843,4.498389413132252,17.77128249701359,13.272893083881339,3.9505878359782445,52.15006567270845,173.30894717859388,121.15888150588543,3.3232738049894954,138441.43672681242,122721.08176420121,-15720.354962611207,0.8864476176043138,483938.1487202436,250315.5173880078,-233622.6313322358,0.5172469210165759
4,mu_b,24800,-27810441357.01164,-10822778166.053732,16987663190.957907,0.3891624022473511,2.12754002870166,-13.51106692144042,-15.63860695014208,-6.350558268784068,7.287306355963364,10.98923147548198,3.7019251195186156,1.5079963622620653,14.766808711646473,17.004655829879667,2.2378471182331943,1.1515457511458262,47.855473011758974,68.38456547466913,20.529092462910157,1.428981079298198,27810441357.01164,10822778166.053732,-16987663190.957907,0.3891624022473511
5,consumption,24800,0.5246149256895158,0.07594085514049341,-0.4486740705490224,0.14475542235227534,8.931622323397852,10.197608900999674,1.2659865776018222,1.1417420633970787,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0,1000.0,1000.0,0.0,1.0
5,labor,24800,0.10452843643665952,0.09951124074789484,-0.005017195688764672,0.9520016192741493,0.7371494266180894,0.6793405132694081,-0.05780891334868121,0.9215777544399671,0.7911913464749188,1.0468419072956145,0.2556505608206957,1.323121027498245,1.0940713001755886,1.5800782362664823,0.4860069360908936,1.444218704953593,2.3882217485683306,5.121348467494178,2.7331267189258472,2.1444191564557507,2.3882217485683306,5.121348467494178,2.7331267189258472,2.1444191564557507
5,transfer,24800,-65020.53482908688,-2240010.3321482446,-2174989.7973191575,34.450813701184416,0.0,-0.851311453579283,-0.851311453579283,,8.844197616988088,67.68386215656442,58.839664539576326,7.652911557127136,420.44031865993423,843.998636263773,423.5583176038388,2.0074160322060512,92869.33287659576,1589675.593379714,1496806.2605031184,17.117336198506628,92869.33287659576,2240010.3321482446,2147140.999271649,24.12002178506825
5,adjustment_cost,24800,0.0,0.0,0.0,,0.13405866387439197,6.112382605656997,5.978323941782604,45.594834597069195,2418.5361364611967,15284.511246951752,12865.975110490555,6.319736561520249,515053.02125683695,1020044.4050328828,504991.38377604587,1.980464851062831,1170506049.7185378,635568753830.9458,634398247781.2273,542.9863040723078,1170506049.7185378,635568753830.9458,634398247781.2273,542.9863040723078
5,effective_illiquid_return,24800,0.08099999999999997,0.26527068544659116,0.1842706854465912,3.274946733908534,0.08998065190509749,0.5026207453304281,0.4126400934253306,5.5858757931709775,0.08999999999997352,0.9550426656030677,0.8650426656030942,10.61158517337054,0.09,1.0280793817204963,0.9380793817204963,11.423104241338848,0.09000000000000002,1.0280825924731531,0.9380825924731531,11.423139916368365,0.09000000000000002,1.0280825924731531,0.9380825924731531,11.423139916368365
5,mu_a,24800,-65019.92106328473,-2240002.870556009,-2174982.949492724,34.45102414651942,0.18947366881812372,0.0,-0.18947366881812372,0.0,9.445371356545097,71.18403179692729,61.73866044038219,7.536393129487795,421.17891839259215,846.5064003717413,425.3274819791491,2.009849884230649,92869.99178842336,1589684.0982068859,1496814.1064184625,17.117306328921703,92869.99178842336,2240002.870556009,2147132.878767586,24.11977030922097
5,mu_b,24800,-1170599837.8572273,-635566514819.113,-634395914981.2559,542.9408874534887,1.7986971920659345,-8.106137067714387,-9.904834259780323,-4.506671330488874,7.141804307983097,11.771899951461183,4.630095643478086,1.6483089488047962,14.854142195273614,23.960250144203684,9.10610794893007,1.6130349251555913,45.72999826716568,105.55918165652415,59.82918338935846,2.308313703399286,1170599837.8572273,635566514819.113,634395914981.2559,542.9408874534887
